Palavra,Concretude,Valência,Alerta,Tamanho,set
Pó,5.61,3.66,5.49,2,A
Movimento,3.2,6.46,4.38,9,A
Comida,6.59,7.99,3.85,6,A
Raça,3.54,5.04,4.37,4,A
Problema,2.83,2.21,7.4,8,A
Sujeira,5.6,2.57,6.41,7,A
Temor,2.06,2.91,6.88,5,A
Obedecer,2.54,5.07,5.73,8,A
Formado,2.9,7.42,4.01,7,A
Benfeitor,3.0,7.0,3.34,9,A
Coroa,6.18,6.22,4.22,5,A
Corpo,6.34,6.72,4.9,5,A
Xadrez,5.92,5.47,4.66,6,A
Árvore,6.59,6.73,2.91,6,A
Blusa,6.73,5.9,4.03,5,A
Chorar,4.32,3.54,5.54,6,A
Graça,2.25,7.36,2.93,5,A
Homicídio,4.08,1.7,7.82,9,A
Barrento,4.44,3.42,5.33,8,A
Superfície,4.78,5.15,3.95,10,A
Doação,3.47,7.72,3.65,6,A
Vendedor,5.66,4.41,5.76,8,A
Erro,2.87,2.65,7.41,4,A
Televisão,6.85,5.93,4.46,9,A
Esverdeado,4.24,5.64,4.62,10,A
Mulher,6.3,6.84,4.97,6,A
Disciplina,2.62,6.24,5.41,10,A
Rede,5.72,6.84,3.52,4,A
Gostoso,3.25,7.86,3.34,7,A
Russa,3.58,5.38,5.14,5,A
Enfermeiro,6.13,5.68,4.88,10,A
Cozinha,6.15,6.27,3.72,7,A
Parede,6.69,4.5,4.68,6,A
Geladeira,6.8,6.26,3.97,9,A
Medida,2.84,4.69,4.48,6,A
Respeito,2.61,7.94,3.89,8,A
Sonolento,3.68,4.19,3.97,9,A
Feliz,2.3,8.58,2.79,5,A
Margarina,6.34,5.36,4.04,9,A
Sufoco,2.38,2.51,7.68,6,A
Beijo,6.02,8.4,3.56,5,A
Ponta,4.8,4.55,4.9,5,A
Motor,6.41,5.01,4.86,5,A
Furto,4.9,2.11,7.64,5,A
Lanchonete,6.19,7.03,3.64,10,A
Vitória,2.54,8.58,4.34,7,A
Cedo,2.93,4.89,4.77,4,A
Lanche,6.03,7.52,3.68,6,A
Solidão,2.16,2.29,6.22,7,A
Suave,2.59,6.77,2.19,5,A
Travesseiro,6.7,7.58,2.32,11,B
Estado,3.52,4.98,4.44,6,B
Urbanização,4.41,5.43,4.91,11,B
Carícia,3.6,8.07,3.01,7,B
Pátio,5.44,6.18,3.72,5,B
Maligno,2.53,1.82,7.32,7,B
Incômodo,2.75,2.54,6.58,8,B
Paciência,1.92,6.29,3.59,9,B
Euforia,2.45,6.17,5.78,7,B
Aborto,4.53,2.28,7.73,6,B
Flâmula,3.9,5.16,4.63,7,B
Serra,5.26,6.09,4.48,5,B
Caixão,6.43,2.24,7.38,6,B
Chocolate,6.61,7.7,2.92,9,B
Perfume,5.34,7.3,3.13,7,B
Macio,3.96,6.73,2.32,5,B
Comunicação,3.39,7.28,4.79,11,B
Freira,6.37,4.77,3.93,6,B
Filhos,6.21,6.7,6.22,6,B
Útil,2.11,7.6,4.0,4,B
Fúnebre,2.92,2.34,6.8,7,B
Cinza,4.88,4.42,4.79,5,B
Baleia,6.55,5.76,4.66,6,B
Tabaco,5.25,2.559,6.71,6,B
Bem-estar,2.68,8.13,2.22,9,B
Shopping,5.93,6.21,3.47,8,B
Peso,3.85,4.17,6.35,4,B
Cesto,6.01,5.03,4.17,5,B
Café,6.29,5.5,4.92,4,B
Desespero,2.44,2.12,7.38,9,B
Animação,3.17,7.89,4.72,8,B
Prato,6.88,5.89,3.64,5,B
Luz,4.75,7.52,3.23,3,B
Cabeça,6.72,6.0,5.14,6,B
Fio,5.74,4.75,4.94,3,B
Arrependimento,1.95,3.96,6.47,14,B
Melancia,6.81,6.59,3.47,8,B
Celestial,2.06,7.34,3.07,9,B
Paz,2.23,7.97,2.37,3,B
Rainha,5.46,5.93,4.23,6,B
Carência,2.06,3.27,5.84,8,B
Trono,6.13,5.79,4.81,5,B
Cantor,5.99,6.56,3.51,6,B
Tesão,3.11,7.75,6.23,5,B
Louça,6.16,3.88,5.08,5,B
Droga,4.9,2.65,7.45,5,B
Acordar,4.31,4.55,4.47,7,B
Quente,3.76,4.87,4.96,6,B
Estrelas,5.76,7.39,2.91,8,B
Guloseima,4.88,7.14,4.28,9,B
