Palavra,Concretude,Valência,Alerta,Tamanho,set
Acalmar,2.66,7.48,2.54,7,A
Cadáver,6.11,2.44,6.7,7,A
Gripe,3.86,2.49,6.14,5,A
Ouvir,3.33,6.69,3.86,5,A
Estrada,5.78,5.94,5.23,7,A
Futebol,5.59,5.45,4.89,7,A
Engenheiro,5.5,5.37,4.75,10,A
Duro,4.69,3.67,5.19,4,A
Lareira,6.3,6.46,3.5,7,A
Vento,4.36,6.64,3.64,5,A
Entusiasmo,2.43,7.92,4.29,10,A
Mal,2.78,2.11,7.68,3,A
Amarelo,5.23,5.7,4.59,7,A
Cólera,2.87,2.19,7.06,6,A
Ira,2.71,2.51,7.79,3,A
Obstáculo,3.59,4.15,6.35,9,A
Árvore,6.59,6.73,2.91,6,A
Benção,2.94,7.48,2.67,6,A
Calçado,6.03,6.21,4.02,7,A
Energia,2.96,7.71,5.23,7,A
Identificação,2.84,5.92,4.86,13,A
Vida,2.96,8.11,3.31,4,A
Estrelas,5.76,7.39,2.91,8,A
Sossego,2.32,7.85,1.75,7,A
Jaula,6.5,2.04,7.15,5,A
Calor,4.03,5.25,5.51,5,A
Asfalto,6.41,5.35,5.23,7,A
Impotente,2.42,2.52,6.3,9,A
Inverno,4.17,6.47,3.98,7,A
Cama,6.84,7.84,2.68,4,A
Fedor,3.09,2.11,6.96,5,A
Compreensão,2.2,7.78,3.43,11,A
Zoologico,6.32,6.32,3.55,9,A
Ardente,2.86,5.86,6.2,7,A
Pátio,5.44,6.18,3.72,5,A
Status,2.91,5.47,5.42,6,A
Cabelo,6.56,6.43,4.23,6,A
Conquista,3.26,8.19,5.5,9,A
Agito,2.76,6.25,5.82,5,A
Vantagem,2.03,6.09,4.43,8,A
Demônio,2.82,2.51,7.1,7,A
Travesseiro,6.7,7.58,2.32,11,A
Mágoa,2.5,2.03,6.9,5,A
Saco,6.12,4.31,4.97,4,A
Ruim,2.53,2.2,6.7,4,A
Multidão,5.23,4.21,6.99,8,A
Base,3.81,5.88,4.35,4,A
Assinatura,5.61,5.65,5.02,10,A
Pano,6.29,4.96,4.4,4,A
Fim,2.54,4.07,5.46,3,A
Momento,2.13,6.2,3.98,7,B
Móvel,5.54,5.79,4.05,5,B
Exército,5.78,4.09,6.36,8,B
Arrepio,4.1,5.52,5.6,7,B
Incômodo,2.75,2.54,6.58,8,B
Comida,6.59,7.99,3.85,6,B
Jesus,4.3,7.77,3.4,5,B
Felino,4.76,4.88,4.81,6,B
Pele,5.79,6.62,4.49,4,B
Manga,6.23,6.33,3.87,5,B
Poltrona,6.66,7.18,2.71,8,B
Aids,4.72,1.87,7.74,4,B
Ferida,5.32,2.62,6.88,6,B
Azul,4.35,6.88,3.09,4,B
Acidente,4.39,2.01,8.07,8,B
Signo,2.72,5.33,4.22,5,B
Fada,3.67,5.84,3.39,4,B
Máquina,5.44,5.63,5.21,7,B
Locomoção,3.91,6.21,4.92,9,B
Orgulho,2.44,4.98,5.24,7,B
Quebrada,3.1,2.9,5.62,8,B
Pessoa,5.36,6.72,4.65,6,B
Serra,5.26,6.09,4.48,5,B
Sucesso,2.58,8.23,4.33,7,B
Açúcar,6.41,6.56,3.68,6,B
Grito,4.13,3.88,6.98,5,B
Terra,5.94,6.13,4.28,5,B
Enfermeiro,6.13,5.68,4.88,10,B
Letra,5.25,5.53,3.99,5,B
Felicidade,2.31,8.38,2.75,10,B
Morte,3.04,2.43,7.61,5,B
Dono,3.38,4.51,5.53,4,B
Frustração,2.39,2.07,7.57,10,B
Título,3.79,5.47,4.59,6,B
Carboidratos,3.8,5.82,4.83,12,B
Pureza,2.19,7.6,2.31,6,B
Impiedade,2.44,1.96,7.41,9,B
Tremor,3.56,3.27,6.81,6,B
Espetar,4.58,3.98,5.68,7,B
Corrigir,3.3,4.48,5.31,8,B
Saudade,1.98,4.44,5.29,7,B
Suspiro,3.64,6.13,3.58,7,B
Seco,3.88,3.9,4.99,4,B
Alimento,5.66,7.6,3.57,8,B
Frescor,2.85,6.69,2.84,7,B
Nação,3.53,6.31,5.18,5,B
Empresário,5.46,5.94,4.77,10,B
Competência,1.97,7.33,4.37,11,B
Gelo,6.38,5.23,3.97,4,B
Cidade,6.15,5.73,4.93,6,B
