Palavra,Concretude,Valência,Alerta,Tamanho,set
Melodia,3.48,7.77,2.61,7,A
Temor,2.06,2.91,6.88,5,A
Bicho,5.28,5.53,4.71,5,A
Abençoar,2.24,7.82,3.12,8,A
Andar,4.64,6.12,2.49,5,A
Curta,2.96,4.66,4.15,5,A
Esverdeado,4.24,5.64,4.62,10,A
Magro,5.27,5.83,3.85,5,A
Saudade,1.98,4.44,5.29,7,A
Férias,4.36,8.24,3.36,6,A
Urbanização,4.41,5.43,4.91,11,A
Ira,2.71,2.51,7.79,3,A
Mel,6.2,7.05,3.22,3,A
Prova,5.51,4.23,7.39,5,A
Claridade,4.67,6.16,4.2,9,A
Máquina,5.44,5.63,5.21,7,A
Império,4.21,4.82,4.84,7,A
Advogado,5.94,4.67,5.68,8,A
Bonito,3.59,7.85,4.58,6,A
Alimento,5.66,7.6,3.57,8,A
Temperatura,3.73,5.53,5.23,11,A
Decoração,4.54,6.72,3.65,9,A
Tinta,6.38,5.18,4.3,5,A
Banco,6.19,5.18,5.31,5,A
Apoio,2.52,7.62,2.81,5,A
Café,6.29,5.5,4.92,4,A
Novo,2.85,7.19,4.31,4,A
Esquecimento,2.34,3.17,6.66,12,A
Angústia,2.15,2.24,4.42,8,A
Peso,3.85,4.17,6.35,4,A
Corajoso,2.81,7.66,4.78,8,A
Guloseima,4.88,7.14,4.28,9,A
Prato,6.88,5.89,3.64,5,A
Poder,2.27,6.29,5.99,5,A
Tirânico,3.27,2.85,7.05,8,A
Mentira,2.76,2.01,7.5,7,A
Aranha,6.77,3.15,6.04,6,A
Ferida,5.32,2.62,6.88,6,A
Carinho,3.32,8.04,2.45,7,A
Agradável,2.47,8.14,2.33,9,A
Juba,5.68,4.47,4.8,4,A
Melancia,6.81,6.59,3.47,8,A
Igreja,6.23,6.45,3.75,6,A
Ouvinte,4.03,6.18,4.09,7,A
Desperdício,2.73,2.06,6.57,11,A
Faro,2.78,6.04,4.3,4,A
Desconhecido,2.31,4.47,5.83,12,A
Aids,4.72,1.87,7.74,4,A
Alívio,2.86,7.94,2.17,6,A
Injeção,6.33,3.27,6.72,7,A
Acalento,1.89,6.34,3.14,8,B
Carícia,3.6,8.07,3.01,7,B
Nuvens,5.84,6.73,2.98,6,B
Fruta,6.57,6.94,3.35,5,B
Aconchego,2.94,8.27,1.93,9,B
Justo,2.5,7.57,4.02,5,B
Espirro,5.19,4.68,4.75,7,B
Pernas,6.58,6.71,4.8,6,B
Açúcar,6.41,6.56,3.68,6,B
Perdoar,2.41,7.36,3.62,7,B
Carro,6.85,7.18,4.5,5,B
Flâmula,3.9,5.16,4.63,7,B
Frescor,2.85,6.69,2.84,7,B
Farelo,5.59,4.8,4.57,6,B
Acidente,4.39,2.01,8.07,8,B
Pátria,3.12,6.87,4.38,6,B
Rigidez,2.94,4.05,6.03,7,B
Onça,6.74,4.67,6.21,4,B
Inteligente,2.51,7.83,4.15,11,B
Salgado,4.4,5.89,4.76,7,B
Aceitação,2.32,6.79,4.28,9,B
Briga,4.88,2.27,8.15,5,B
Plenitude,1.84,7.19,3.22,9,B
Horrível,2.55,2.17,7.06,8,B
Quarto,5.91,7.23,3.13,6,B
Infância,4.15,7.26,3.17,8,B
Pesca,4.95,6.24,3.45,5,B
Ruim,2.53,2.2,6.7,4,B
Deformidade,3.71,2.43,6.48,11,B
Ritmo,3.17,6.56,4.48,5,B
Glória,2.18,7.49,4.29,6,B
Trigo,6.2,5.34,3.6,5,B
Mosca,6.61,2.43,6.02,5,B
Tesão,3.11,7.75,6.23,5,B
Borracha,6.42,5.08,4.17,8,B
Abóbora,6.55,5.52,4.25,7,B
Culpa,2.39,2.05,7.27,5,B
Caça,3.81,3.91,5.98,4,B
Corpo,6.34,6.72,4.9,5,B
Caminhar,4.5,6.5,3.18,8,B
Zombador,3.07,3.12,6.46,8,B
Intragável,2.3,2.83,6.8,10,B
Quartel,5.92,3.68,6.2,7,B
Sufoco,2.38,2.51,7.68,6,B
Cabra,6.44,4.29,4.42,5,B
Felicidade,2.31,8.38,2.75,10,B
Paciência,1.92,6.29,3.59,9,B
Móvel,5.54,5.79,4.05,5,B
Pneu,6.78,4.49,4.96,4,B
Guerra,3.97,2.07,7.68,6,B
