Palavra,Concretude,Valência,Alerta,Tamanho,set
Fada,3.67,5.84,3.39,4,A
Agressão,3.14,1.73,7.93,8,A
Ouvinte,4.03,6.18,4.09,7,A
Paladar,3.4,7.13,4.29,7,A
Prejudicial,2.64,2.22,7.23,11,A
Ruim,2.53,2.2,6.7,4,A
Revólver,6.72,2.25,7.93,8,A
Poltrona,6.66,7.18,2.71,8,A
Devagar,3.3,3.93,4.36,7,A
Defesa,2.58,6.16,5.63,6,A
Majestade,4.33,5.68,4.79,9,A
Bonita,4.15,7.78,3.36,6,A
Frustração,2.39,2.07,7.57,10,A
Sucesso,2.58,8.23,4.33,7,A
Agonia,2.42,1.89,7.66,6,A
Afetuoso,2.52,7.81,3.46,8,A
Pó,5.61,3.66,5.49,2,A
Locomoção,3.91,6.21,4.92,9,A
Faxineiro,6.14,5.43,3.7,9,A
Pêra,6.82,5.93,2.75,4,A
Segurança,3.05,7.22,4.14,9,A
Francês,3.74,5.04,4.72,7,A
Histérico,3.04,2.94,7.02,9,A
Beijo,6.02,8.4,3.56,5,A
Rigidez,2.94,4.05,6.03,7,A
Café,6.29,5.5,4.92,4,A
Gozo,3.17,7.49,4.34,4,A
Porta,6.62,5.77,4.27,5,A
Motor,6.41,5.01,4.86,5,A
Cadeado,6.41,3.89,5.22,7,A
Profissional,3.43,7.4,4.59,12,A
Bélico,3.47,3.61,6.24,6,A
Cama,6.84,7.84,2.68,4,A
Fermento,6.05,4.96,4.9,8,A
Corajoso,2.81,7.66,4.78,8,A
Adultério,3.63,2.2,7.52,9,A
Calçado,6.03,6.21,4.02,7,A
Gigante,4.54,4.84,5.14,7,A
Doce,4.83,7.57,3.11,4,A
Signo,2.72,5.33,4.22,5,A
Incômodo,2.75,2.54,6.58,8,A
Frágil,2.95,3.72,5.11,6,A
Lugar,3.06,5.89,4.07,5,A
Sanduíche,6.54,7.3,4.07,9,A
Cortina,6.3,5.22,2.98,7,A
Inverno,4.17,6.47,3.98,7,A
Gol,5.35,6.56,5.04,3,A
Impotente,2.42,2.52,6.3,9,A
Tricô,5.77,5.15,3.22,5,A
Cadeira,6.93,5.42,3.68,7,A
Carência,2.06,3.27,5.84,8,B
Soldado,6.55,4.87,5.73,7,B
Violência,3.79,1.85,7.95,9,B
Borrar,3.83,3.82,4.99,6,B
Fracasso,2.49,1.51,7.85,8,B
Criança,6.57,7.03,3.81,7,B
Melodia,3.48,7.77,2.61,7,B
Prova,5.51,4.23,7.39,5,B
Cor,3.63,6.65,4.29,3,B
Macumba,2.78,2.29,6.75,7,B
Veneno,5.01,2.59,7.39,6,B
Bule,6.68,5.14,4.27,4,B
Marte,5.48,4.79,4.97,5,B
Sonhar,2.28,7.55,3.38,6,B
Doação,3.47,7.72,3.65,6,B
Prisão,5.45,2.01,7.4,6,B
Guloseima,4.88,7.14,4.28,9,B
Subir,3.51,6.22,4.76,5,B
Azul,4.35,6.88,3.09,4,B
Caixão,6.43,2.24,7.38,6,B
Abacaxi,6.66,6.44,3.56,7,B
Gordo,5.65,2.86,5.83,5,B
Comunicação,3.39,7.28,4.79,11,B
Geladeira,6.8,6.26,3.97,9,B
Caminhar,4.5,6.5,3.18,8,B
Ferida,5.32,2.62,6.88,6,B
Cinza,4.88,4.42,4.79,5,B
Forçado,2.37,2.55,6.76,7,B
Ponte,6.47,5.33,4.63,5,B
Delícia,2.95,8.34,3.31,7,B
Proteção,2.67,8.03,3.58,8,B
Ouvir,3.33,6.69,3.86,5,B
Elástica,3.3,5.35,4.85,8,B
Prato,6.88,5.89,3.64,5,B
Responsabilidade,2.28,7.01,5.41,16,B
Benção,2.94,7.48,2.67,6,B
Esverdeado,4.24,5.64,4.62,10,B
Engenheiro,5.5,5.37,4.75,10,B
Macio,3.96,6.73,2.32,5,B
Lanche,6.03,7.52,3.68,6,B
Organização,2.93,6.6,4.35,11,B
Cabelo,6.56,6.43,4.23,6,B
Trono,6.13,5.79,4.81,5,B
Paparicar,2.72,6.43,3.86,9,B
Calor,4.03,5.25,5.51,5,B
Luto,3.41,2.01,6.24,4,B
Tremor,3.56,3.27,6.81,6,B
Artista,4.54,6.57,3.67,7,B
Parar,3.55,4.04,4.72,5,B
Fim,2.54,4.07,5.46,3,B
