Palavra,Concretude,Valência,Alerta,Tamanho,set
Agressão,3.14,1.73,7.93,8,A
Momento,2.13,6.2,3.98,7,A
Obstáculo,3.59,4.15,6.35,9,A
Namorado,5.42,7.14,4.54,8,A
Furto,4.9,2.11,7.64,5,A
Inseto,5.78,3.32,5.86,6,A
Animação,3.17,7.89,4.72,8,A
Nascimento,3.67,7.45,4.43,10,A
Poder,2.27,6.29,5.99,5,A
Xingação,2.42,2.6,6.94,8,A
Picada,5.3,2.55,6.88,6,A
Velório,5.5,1.84,6.77,7,A
Madura,3.71,6.28,4.47,6,A
Problema,2.83,2.21,7.4,8,A
Encosto,4.19,3.95,5.17,7,A
Gozo,3.17,7.49,4.34,4,A
Amigo,3.99,8.3,2.58,5,A
Atrito,3.69,3.7,6.08,6,A
Respirar,4.4,7.77,3.27,8,A
Sossego,2.32,7.85,1.75,7,A
Alpinismo,4.92,5.63,5.67,9,A
Dono,3.38,4.51,5.53,4,A
Pano,6.29,4.96,4.4,4,A
Triste,2.49,2.51,6.07,6,A
Psicólogo,5.12,5.43,4.71,9,A
Natureza,4.06,7.91,2.56,8,A
Aids,4.72,1.87,7.74,4,A
Artista,4.54,6.57,3.67,7,A
Veneziana,5.32,5.11,4.55,9,A
Grande,3.76,6.27,4.71,6,A
Rugoso,4.62,3.94,4.98,6,A
Faro,2.78,6.04,4.3,4,A
Carnívoro,4.45,5.34,5.6,9,A
Rigidez,2.94,4.05,6.03,7,A
Árvore,6.59,6.73,2.91,6,A
Curta,2.96,4.66,4.15,5,A
Motor,6.41,5.01,4.86,5,A
Grosseria,2.42,2.21,7.15,9,A
Remédio,5.86,4.01,6.24,7,A
Símbolo,3.15,5.64,4.5,7,A
Melodia,3.48,7.77,2.61,7,A
Zombador,3.07,3.12,6.46,8,A
Maravilhosa,2.28,7.83,3.21,11,A
Queijo,6.76,6.38,3.76,6,A
Tênis,6.78,6.32,3.63,5,A
Geladeira,6.8,6.26,3.97,9,A
Terra,5.94,6.13,4.28,5,A
Branco,5.02,6.39,3.23,6,A
Amargura,2.41,1.96,5.8,8,A
Lápis,6.72,5.48,4.16,5,A
Caju,6.65,5.95,3.45,4,B
Chá,6.05,6.26,3.32,3,B
Superior,2.73,5.96,5.51,8,B
Repouso,3.27,7.94,1.97,7,B
Furar,4.49,4.04,5.17,5,B
Beterraba,6.76,5.26,4.08,9,B
Manga,6.23,6.33,3.87,5,B
Necessidade,2.19,4.82,5.88,11,B
Descaso,2.41,3.12,6.48,7,B
Aceitação,2.32,6.79,4.28,9,B
Namoro,3.97,7.84,4.09,6,B
Decadência,2.28,2.28,7.14,10,B
Grade,6.28,3.78,5.9,5,B
Rude,2.83,2.7,6.81,4,B
Carta,6.19,6.6,3.59,5,B
Pêra,6.82,5.93,2.75,4,B
Útil,2.11,7.6,4.0,4,B
Alguém,3.23,6.82,4.25,6,B
Limpar,4.05,5.13,4.25,6,B
Odor,3.21,4.43,6.1,4,B
Baderna,3.45,3.43,6.48,7,B
Terror,2.37,3.09,7.59,6,B
Confortável,2.82,7.92,2.34,11,B
Voz,1.11,6.38,4.93,3,B
Guloseima,4.88,7.14,4.28,9,B
Pão,6.79,6.83,3.35,3,B
Resto,2.98,3.5,5.55,5,B
Preguiça,3.08,3.42,3.73,8,B
Caixão,6.43,2.24,7.38,6,B
Sofrimento,2.48,2.05,6.2,10,B
Ladrão,5.49,1.61,8.05,6,B
Desconhecido,2.31,4.47,5.83,12,B
Multidão,5.23,4.21,6.99,8,B
Esferográfica,5.4,5.03,4.12,13,B
Ritmo,3.17,6.56,4.48,5,B
Grito,4.13,3.88,6.98,5,B
Fincar,4.25,4.26,5.55,6,B
Presídio,6.08,2.38,7.49,8,B
Doação,3.47,7.72,3.65,6,B
Carnaval,4.57,5.67,4.94,8,B
Harmonia,1.96,8.01,2.27,8,B
Lento,2.95,3.37,4.28,5,B
Fogão,6.65,5.43,4.86,5,B
Estado,3.52,4.98,4.44,6,B
Aborto,4.53,2.28,7.73,6,B
Salgado,4.4,5.89,4.76,7,B
Vigilante,4.8,5.07,5.37,9,B
Pele,5.79,6.62,4.49,4,B
Companheiro,4.23,7.94,3.24,11,B
Pêssego,6.47,6.29,3.37,7,B
