Palavra,Concretude,Valência,Alerta,Tamanho,set
Autoridade,3.36,4.54,6.57,10,A
Preconceito,1.97,2.31,7.03,11,A
Benfeitor,3.0,7.0,3.34,9,A
Anormal,2.75,3.71,6.15,7,A
Traição,3.37,1.98,7.94,7,A
Dono,3.38,4.51,5.53,4,A
Preto,4.97,5.67,4.59,5,A
Nutritiva,3.51,7.12,3.2,9,A
Manteiga,6.48,5.48,4.31,8,A
Dente,6.75,5.56,5.04,5,A
Atenção,2.69,5.44,5.85,7,A
Artista,4.54,6.57,3.67,7,A
Sala,5.88,5.34,4.45,4,A
Metal,5.57,5.04,4.96,5,A
Pão,6.79,6.83,3.35,3,A
Morro,5.9,4.8,5.31,5,A
Decepção,2.63,1.94,6.97,8,A
Curtir,2.56,7.71,3.32,6,A
Tampa,6.07,4.81,4.14,5,A
Superior,2.73,5.96,5.51,8,A
Manga,6.23,6.33,3.87,5,A
Atraso,2.6,3.15,6.96,6,A
Bravo,3.1,3.17,6.97,5,A
Comunicação,3.39,7.28,4.79,11,A
Colchão,6.69,6.98,2.36,7,A
Imbecil,2.3,2.59,6.41,7,A
Tubarão,6.76,3.46,7.08,7,A
Grade,6.28,3.78,5.9,5,A
Feia,2.74,3.31,5.76,4,A
Brilhante,3.99,7.34,3.74,9,A
Prato,6.88,5.89,3.64,5,A
Peluda,4.9,3.39,5.91,6,A
Jovem,4.87,7.01,3.65,5,A
Decadência,2.28,2.28,7.14,10,A
Banco,6.19,5.18,5.31,5,A
Doação,3.47,7.72,3.65,6,A
Sol,6.07,7.03,3.73,3,A
Graça,2.25,7.36,2.93,5,A
Cura,3.27,8.18,3.48,4,A
Jaula,6.5,2.04,7.15,5,A
Tecido,5.87,5.51,3.87,6,A
Poema,4.27,6.84,2.82,5,A
Jaqueta,6.73,5.49,3.44,7,A
Carência,2.06,3.27,5.84,8,A
Cinza,4.88,4.42,4.79,5,A
Sorvete,6.49,7.62,3.06,7,A
Xícara,6.85,5.14,4.05,6,A
Rede,5.72,6.84,3.52,4,A
Fracasso,2.49,1.51,7.85,8,A
Boneca,6.55,5.63,3.76,6,A
Comida,6.59,7.99,3.85,6,B
Tabaco,5.25,2.559,6.71,6,B
Gola,6.39,4.55,3.79,4,B
Discriminação,3.18,2.42,6.83,13,B
Gelo,6.38,5.23,3.97,4,B
Zorra,3.57,4.96,6.12,5,B
Asfalto,6.41,5.35,5.23,7,B
Agito,2.76,6.25,5.82,5,B
Essencial,2.25,7.0,4.83,9,B
Rodoviária,6.29,3.52,6.57,10,B
Ser,1.98,6.97,4.32,3,B
Superfície,4.78,5.15,3.95,10,B
Coroa,6.18,6.22,4.22,5,B
Desespero,2.44,2.12,7.38,9,B
Droga,4.9,2.65,7.45,5,B
Grama,6.55,5.79,3.07,5,B
Mastro,6.03,4.85,4.09,6,B
Transporte,5.01,5.19,5.25,10,B
Perda,2.57,2.11,7.32,5,B
Cabra,6.44,4.29,4.42,5,B
Paraíso,2.97,8.23,2.58,7,B
Magro,5.27,5.83,3.85,5,B
Deitado,4.97,6.86,2.19,7,B
Mulher,6.3,6.84,4.97,6,B
Honra,2.15,7.71,4.12,5,B
Moda,2.94,5.76,4.14,4,B
Látex,5.29,5.13,4.8,5,B
Quebrada,3.1,2.9,5.62,8,B
Tortura,3.32,1.62,7.88,7,B
Bicho,5.28,5.53,4.71,5,B
Lápis,6.72,5.48,4.16,5,B
Freira,6.37,4.77,3.93,6,B
Nuvens,5.84,6.73,2.98,6,B
Voz,1.11,6.38,4.93,3,B
Fina,3.21,5.15,3.65,4,B
Fofoca,3.06,2.5,6.31,6,B
Atrito,3.69,3.7,6.08,6,B
Infância,4.15,7.26,3.17,8,B
Notas,4.16,5.93,6.5,5,B
Vício,3.19,2.34,7.08,5,B
Pano,6.29,4.96,4.4,4,B
Maligno,2.53,1.82,7.32,7,B
Morango,6.63,7.3,2.77,7,B
Orgânico,3.86,6.04,4.2,8,B
Veneno,5.01,2.59,7.39,6,B
Comodidade,2.93,6.46,3.62,10,B
Brincadeira,3.47,7.65,2.83,11,B
Vitamina,4.9,6.42,4.0,8,B
Cesto,6.01,5.03,4.17,5,B
Criança,6.57,7.03,3.81,7,B
