Palavra,Concretude,Valência,Alerta,Tamanho,set
Calçado,6.03,6.21,4.02,7,A
Bravo,3.1,3.17,6.97,5,A
Aventura,2.18,8.02,5.54,8,A
Casa,6.63,7.71,2.75,4,A
Abençoar,2.24,7.82,3.12,8,A
Paixão,2.5,7.87,4.98,6,A
Riscar,4.38,4.72,4.96,6,A
Desenho,4.83,7.12,3.66,7,A
Jaqueta,6.73,5.49,3.44,7,A
Feia,2.74,3.31,5.76,4,A
Esferográfica,5.4,5.03,4.12,13,A
Guloseima,4.88,7.14,4.28,9,A
Militar,5.67,4.65,6.2,7,A
Borboleta,6.71,6.82,3.42,9,A
Acidente,4.39,2.01,8.07,8,A
Nadar,5.15,6.71,4.08,5,A
Palheiro,5.57,4.86,4.03,8,A
Admirável,2.42,7.72,3.28,9,A
Banana,6.75,5.91,4.03,6,A
Pai,6.11,7.56,4.14,3,A
Cochilar,4.38,7.71,2.19,8,A
Demônio,2.82,2.51,7.1,7,A
Gosma,5.23,2.65,5.95,5,A
Luz,4.75,7.52,3.23,3,A
Barco,6.43,6.07,3.73,5,A
Ruim,2.53,2.2,6.7,4,A
Vestir,5.53,6.69,3.75,6,A
Cenoura,6.78,5.51,3.5,7,A
Obedecer,2.54,5.07,5.73,8,A
Beterraba,6.76,5.26,4.08,9,A
Vulcão,6.07,4.17,6.68,6,A
Televisão,6.85,5.93,4.46,9,A
Lagoa,6.42,7.3,2.93,5,A
Máquina,5.44,5.63,5.21,7,A
Tirânico,3.27,2.85,7.05,8,A
Margem,4.54,5.22,4.76,6,A
Estrelas,5.76,7.39,2.91,8,A
Decisão,2.09,5.77,6.3,7,A
Flor,6.69,7.1,2.52,4,A
Vida,2.96,8.11,3.31,4,A
Montanha,6.14,6.54,3.87,8,A
Amigo,3.99,8.3,2.58,5,A
Ouvinte,4.03,6.18,4.09,7,A
Látex,5.29,5.13,4.8,5,A
Odor,3.21,4.43,6.1,4,A
Maligno,2.53,1.82,7.32,7,A
Oprimido,2.52,1.82,6.97,8,A
Frágil,2.95,3.72,5.11,6,A
Panela,6.56,4.83,4.43,6,A
Letra,5.25,5.53,3.99,5,A
Contente,2.95,7.69,2.8,8,B
Descansar,4.02,8.08,1.94,9,B
Escalada,4.21,5.92,5.28,8,B
Motor,6.41,5.01,4.86,5,B
Tartaruga,6.75,5.85,3.34,9,B
Parede,6.69,4.5,4.68,6,B
Monarquia,3.33,4.07,5.33,9,B
Fome,3.14,2.19,7.23,4,B
Raça,3.54,5.04,4.37,4,B
Assalto,4.25,1.8,7.86,7,B
Alguém,3.23,6.82,4.25,6,B
Jovem,4.87,7.01,3.65,5,B
Filhos,6.21,6.7,6.22,6,B
Sentar,4.93,6.36,2.67,6,B
Independência,2.53,8.11,5.04,13,B
Trono,6.13,5.79,4.81,5,B
Lancha,6.55,6.38,4.45,6,B
Ponta,4.8,4.55,4.9,5,B
Criança,6.57,7.03,3.81,7,B
Velocidade,3.77,6.16,6.28,10,B
Preguiça,3.08,3.42,3.73,8,B
Cinza,4.88,4.42,4.79,5,B
Vomitar,5.4,2.04,6.46,7,B
Benção,2.94,7.48,2.67,6,B
Multidão,5.23,4.21,6.99,8,B
Bala,6.11,4.86,4.42,4,B
Bandeira,6.42,5.53,4.21,8,B
Necessidade,2.19,4.82,5.88,11,B
Flexível,3.19,7.05,3.66,8,B
Viajar,4.27,8.47,3.61,6,B
Prova,5.51,4.23,7.39,5,B
Céu,5.18,7.87,2.98,3,B
Medida,2.84,4.69,4.48,6,B
Rio,6.61,7.27,2.91,3,B
Inteligente,2.51,7.83,4.15,11,B
Parar,3.55,4.04,4.72,5,B
Farelo,5.59,4.8,4.57,6,B
Degolar,4.49,2.24,7.46,7,B
Maçã,6.84,6.49,3.62,4,B
Dormir,4.35,8.05,2.23,6,B
Moda,2.94,5.76,4.14,4,B
Trabalho,4.47,6.38,5.51,8,B
Colo,4.11,7.46,2.85,4,B
Racional,2.51,6.37,4.49,8,B
Arrepio,4.1,5.52,5.6,7,B
Duro,4.69,3.67,5.19,4,B
Leite,6.63,6.31,3.33,5,B
Persiana,6.65,5.58,3.72,8,B
Garras,5.25,4.03,6.45,6,B
Cadeia,5.94,2.21,7.08,6,B
