Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Arquiteto,5.33,5.43,4.33,9,1
Bélico,3.47,3.61,6.24,6,1
Cadeia,5.94,2.21,7.08,6,1
Estrada,5.78,5.94,5.23,7,1
Loucura,2.47,4.48,6.9,7,1
Namoro,3.97,7.84,4.09,6,1
Assalto,4.25,1.8,7.86,7,1
Respeito,2.61,7.94,3.89,8,1
Virtude,2.03,7.5,3.02,7,1
Madeira,6.45,4.95,4.15,7,1
Comida,6.59,7.99,3.85,6,1
Faro,2.78,6.04,4.3,4,1
Saudade,1.98,4.44,5.29,7,1
Salgado,4.4,5.89,4.76,7,1
Obrigar,2.46,2.21,6.94,7,1
Raiva,2.72,2.46,7.65,5,1
Céu,5.18,7.87,2.98,3,1
Girafa,6.78,5.46,3.88,6,1
Responsabilidade,2.28,7.01,5.41,16,1
Rosa,5.9,6.87,3.48,4,1
Estado,3.52,4.98,4.44,6,1
Passada,2.62,4.65,4.47,7,1
Bandeira,6.42,5.53,4.21,8,1
Independência,2.53,8.11,5.04,13,1
Rugoso,4.62,3.94,4.98,6,1
Criminoso,4.74,2.15,7.81,9,1
Mordida,5.36,4.16,5.75,7,1
Vaca,6.8,5.51,4.33,4,1
Copo,6.72,5.6,3.22,4,1
Notas,4.16,5.93,6.5,5,1
Grade,6.28,3.78,5.9,5,1
Rocha,6.55,5.2,4.79,5,1
Movimento,3.2,6.46,4.38,9,1
Rua,6.48,5.5,4.97,3,1
Grosseria,2.42,2.21,7.15,9,1
Verde,4.5,6.66,2.87,5,1
Marcha,4.89,4.82,4.97,6,1
Descansar,4.02,8.08,1.94,9,1
Sanduíche,6.54,7.3,4.07,9,1
Meiga,2.66,7.44,3.19,5,1
Urbanização,4.41,5.43,4.91,11,2
Fofoca,3.06,2.5,6.31,6,2
Morro,5.9,4.8,5.31,5,2
Cidade,6.15,5.73,4.93,6,2
Haste,5.46,5.06,4.05,5,2
Suco,6.34,6.8,2.41,4,2
Harmonia,1.96,8.01,2.27,8,2
Presídio,6.08,2.38,7.49,8,2
Maconha,5.86,3.03,6.31,7,2
Gracioso,2.17,7.22,3.02,8,2
Fruta,6.57,6.94,3.35,5,2
Engenheiro,5.5,5.37,4.75,10,2
Nojo,2.36,2.53,6.59,4,2
Acordar,4.31,4.55,4.47,7,2
Infância,4.15,7.26,3.17,8,2
Flâmula,3.9,5.16,4.63,7,2
Pular,4.93,6.31,5.39,5,2
Carnaval,4.57,5.67,4.94,8,2
Queijo,6.76,6.38,3.76,6,2
Riqueza,3.35,7.57,4.69,7,2
Horizonte,3.81,7.23,2.3,9,2
País,4.35,6.11,5.41,4,2
Beleza,2.94,7.71,3.96,6,2
Aconchego,2.94,8.27,1.93,9,2
Boneca,6.55,5.63,3.76,6,2
Polícia,5.94,4.35,6.38,7,2
Esverdeado,4.24,5.64,4.62,10,2
Fedor,3.09,2.11,6.96,5,2
Blusa,6.73,5.9,4.03,5,2
Metrópole,5.0,4.65,6.25,9,2
Acalmar,2.66,7.48,2.54,7,2
Crime,3.56,1.76,8.01,5,2
Obedecer,2.54,5.07,5.73,8,2
Móvel,5.54,5.79,4.05,5,2
Marido,5.89,5.96,5.12,6,2
Ciúme,2.24,3.21,6.49,5,2
Impotente,2.42,2.52,6.3,9,2
Pato,6.86,5.6,3.58,4,2
Defeito,2.69,3.04,6.11,7,2
Apoio,2.52,7.62,2.81,5,2
Temor,2.06,2.91,6.88,5,3
Aula,4.19,5.68,5.5,4,3
Zombador,3.07,3.12,6.46,8,3
Esferográfica,5.4,5.03,4.12,13,3
Tecido,5.87,5.51,3.87,6,3
Suave,2.59,6.77,2.19,5,3
Prato,6.88,5.89,3.64,5,3
Colégio,6.24,6.36,5.38,7,3
Multidão,5.23,4.21,6.99,8,3
Poltrona,6.66,7.18,2.71,8,3
Subir,3.51,6.22,4.76,5,3
Grama,6.55,5.79,3.07,5,3
Areia,6.25,5.46,3.14,5,3
Erro,2.87,2.65,7.41,4,3
Linha,5.36,4.91,4.11,5,3
Honestidade,2.56,8.22,3.1,11,3
Mão,6.76,6.16,4.05,3,3
Doce,4.83,7.57,3.11,4,3
Vitamina,4.9,6.42,4.0,8,3
Lata,6.72,4.86,4.4,4,3
Férias,4.36,8.24,3.36,6,3
Asfalto,6.41,5.35,5.23,7,3
Ouvinte,4.03,6.18,4.09,7,3
Impiedade,2.44,1.96,7.41,9,3
Habitante,5.43,5.34,4.41,9,3
Belo,2.29,7.58,3.12,4,3
Vigilante,4.8,5.07,5.37,9,3
Estofado,6.26,6.03,3.52,8,3
Veneziana,5.32,5.11,4.55,9,3
Magro,5.27,5.83,3.85,5,3
Raça,3.54,5.04,4.37,4,3
Homem,6.08,5.73,4.62,5,3
Desfazer,2.73,3.99,5.78,8,3
Família,4.76,8.41,3.28,7,3
Tortura,3.32,1.62,7.88,7,3
Vulgaridade,2.92,2.72,7.18,11,3
Nervosismo,2.57,2.08,7.44,10,3
Fúria,2.45,2.91,7.42,5,3
Calma,2.37,7.5,2.28,5,3
Farda,6.04,4.42,5.99,5,3
