Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Esquecida,2.65,3.39,5.61,9,1
Justiça,2.61,7.35,5.47,7,1
Ferida,5.32,2.62,6.88,6,1
Novo,2.85,7.19,4.31,4,1
Atrito,3.69,3.7,6.08,6,1
Banana,6.75,5.91,4.03,6,1
Russa,3.58,5.38,5.14,5,1
Bom,2.32,7.6,2.74,3,1
Objeto,6.11,5.35,4.45,6,1
Comida,6.59,7.99,3.85,6,1
Chapéu,6.76,5.31,4.5,6,1
Gozo,3.17,7.49,4.34,4,1
Amargura,2.41,1.96,5.8,8,1
Caça,3.81,3.91,5.98,4,1
Agito,2.76,6.25,5.82,5,1
Decoração,4.54,6.72,3.65,9,1
Cadeado,6.41,3.89,5.22,7,1
Tarde,3.8,5.08,3.98,5,1
Beijo,6.02,8.4,3.56,5,1
Ladrão,5.49,1.61,8.05,6,1
Guerra,3.97,2.07,7.68,6,1
Presídio,6.08,2.38,7.49,8,1
Enfermeiro,6.13,5.68,4.88,10,1
Fincar,4.25,4.26,5.55,6,1
Afeto,2.24,7.96,2.77,5,1
Advogado,5.94,4.67,5.68,8,1
Guloseima,4.88,7.14,4.28,9,1
Caderno,6.75,5.44,4.53,7,1
Ponte,6.47,5.33,4.63,5,1
Curtir,2.56,7.71,3.32,6,1
Rosa,5.9,6.87,3.48,4,1
Disco,6.46,6.39,3.52,5,1
Subir,3.51,6.22,4.76,5,1
Companheiro,4.23,7.94,3.24,11,1
Graça,2.25,7.36,2.93,5,1
Insuportável,2.13,2.08,7.57,12,1
Negativo,2.49,2.49,6.46,8,1
Uniforme,6.27,4.51,4.96,8,1
Maracujá,6.62,6.71,3.05,8,1
Caneta,6.72,5.41,4.04,6,1
Barrento,4.44,3.42,5.33,8,2
Serenidade,1.92,7.48,2.61,10,2
Completude,1.71,6.2,3.86,10,2
Raiva,2.72,2.46,7.65,5,2
Cachoeira,6.45,7.46,2.94,9,2
Símbolo,3.15,5.64,4.5,7,2
Carnaval,4.57,5.67,4.94,8,2
Material,4.35,5.22,4.54,8,2
Insegurança,2.16,1.89,6.97,11,2
Barco,6.43,6.07,3.73,5,2
Gosma,5.23,2.65,5.95,5,2
Coração,5.61,7.55,4.38,7,2
Furto,4.9,2.11,7.64,5,2
Encosto,4.19,3.95,5.17,7,2
Festa,4.65,7.61,4.26,5,2
Pão,6.79,6.83,3.35,3,2
Serra,5.26,6.09,4.48,5,2
Fim,2.54,4.07,5.46,3,2
Glória,2.18,7.49,4.29,6,2
Pulmão,6.26,6.26,4.37,6,2
Cedo,2.93,4.89,4.77,4,2
Bondade,2.25,8.08,2.55,7,2
Inteligente,2.51,7.83,4.15,11,2
Resto,2.98,3.5,5.55,5,2
Cabra,6.44,4.29,4.42,5,2
Nervosismo,2.57,2.08,7.44,10,2
Montanha,6.14,6.54,3.87,8,2
Homicídio,4.08,1.7,7.82,9,2
Tartaruga,6.75,5.85,3.34,9,2
Morango,6.63,7.3,2.77,7,2
Fruta,6.57,6.94,3.35,5,2
Trigo,6.2,5.34,3.6,5,2
Profissional,3.43,7.4,4.59,12,2
Direção,2.86,6.34,5.26,7,2
Porco,6.7,3.7,4.98,5,2
Som,3.39,7.15,5.13,3,2
Unha,6.65,5.44,4.53,4,2
Escrever,5.76,6.15,4.41,8,2
Mal,2.78,2.11,7.68,3,2
Decepar,5.04,2.33,7.78,7,2
Bicho,5.28,5.53,4.71,5,3
Farda,6.04,4.42,5.99,5,3
Manteiga,6.48,5.48,4.31,8,3
Frustração,2.39,2.07,7.57,10,3
Ódio,2.21,2.22,7.72,4,3
Furar,4.49,4.04,5.17,5,3
Pesadelo,2.84,1.93,7.8,8,3
Marte,5.48,4.79,4.97,5,3
Margem,4.54,5.22,4.76,6,3
Lugar,3.06,5.89,4.07,5,3
Tragar,3.79,2.65,5.4,6,3
Pisar,4.56,4.98,5.11,5,3
Preconceito,1.97,2.31,7.03,11,3
Corajoso,2.81,7.66,4.78,8,3
Banho,5.15,7.95,2.72,5,3
Psicólogo,5.12,5.43,4.71,9,3
Dinheiro,5.99,7.36,5.53,8,3
Edifício,6.63,5.19,4.44,8,3
Jaula,6.5,2.04,7.15,5,3
Rei,5.0,5.2,5.12,3,3
Aula,4.19,5.68,5.5,4,3
Pobreza,4.35,2.22,7.09,7,3
Banco,6.19,5.18,5.31,5,3
Mãe,5.95,8.35,2.72,3,3
Paranóico,2.39,3.0,7.35,9,3
Seco,3.88,3.9,4.99,4,3
Farinha,6.59,5.51,4.29,7,3
Social,2.15,6.14,4.48,6,3
Coroa,6.18,6.22,4.22,5,3
Urbanização,4.41,5.43,4.91,11,3
Noite,4.77,7.33,3.59,5,3
Descansar,4.02,8.08,1.94,9,3
Celestial,2.06,7.34,3.07,9,3
Cenoura,6.78,5.51,3.5,7,3
Cor,3.63,6.65,4.29,3,3
Bélico,3.47,3.61,6.24,6,3
Zoologico,6.32,6.32,3.55,9,3
Superfície,4.78,5.15,3.95,10,3
Guitarra,6.69,5.9,4.91,8,3
Tranquilidade,2.34,8.04,2.18,13,3
