Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Furto,4.9,2.11,7.64,5,1
Desilusão,1.94,2.05,6.48,9,1
Veneno,5.01,2.59,7.39,6,1
Psicólogo,5.12,5.43,4.71,9,1
Nervosismo,2.57,2.08,7.44,10,1
Peso,3.85,4.17,6.35,4,1
Fada,3.67,5.84,3.39,4,1
Parar,3.55,4.04,4.72,5,1
Faxineiro,6.14,5.43,3.7,9,1
Mãe,5.95,8.35,2.72,3,1
Gelo,6.38,5.23,3.97,4,1
Vermelho,4.96,6.25,5.86,8,1
Desfazer,2.73,3.99,5.78,8,1
Apoio,2.52,7.62,2.81,5,1
Transar,5.18,7.76,5.01,7,1
Ira,2.71,2.51,7.79,3,1
Alívio,2.86,7.94,2.17,6,1
Olfato,3.99,6.36,4.22,6,1
Chocolate,6.61,7.7,2.92,9,1
Vulcão,6.07,4.17,6.68,6,1
Escrever,5.76,6.15,4.41,8,1
Esverdeado,4.24,5.64,4.62,10,1
Perigo,3.17,3.12,7.87,6,1
Casaco,6.41,6.12,3.67,6,1
Edifício,6.63,5.19,4.44,8,1
Rigidez,2.94,4.05,6.03,7,1
Farda,6.04,4.42,5.99,5,1
Doutor,4.67,5.94,5.18,6,1
Muro,6.53,4.11,4.52,4,1
Prisão,5.45,2.01,7.4,6,1
Cura,3.27,8.18,3.48,4,1
Gozo,3.17,7.49,4.34,4,1
Estupro,4.92,1.35,8.07,7,1
Vigilante,4.8,5.07,5.37,9,1
Picada,5.3,2.55,6.88,6,1
Machucado,5.11,2.28,6.73,9,1
Frio,3.42,4.65,4.74,4,1
Edificante,2.68,6.14,4.14,10,1
Borrar,3.83,3.82,4.99,6,1
Geladeira,6.8,6.26,3.97,9,1
Morro,5.9,4.8,5.31,5,2
Gravador,6.37,4.67,4.78,8,2
Homem,6.08,5.73,4.62,5,2
Girafa,6.78,5.46,3.88,6,2
Rádio,6.72,6.36,3.56,5,2
Janela,6.48,5.63,3.69,6,2
Aborto,4.53,2.28,7.73,6,2
Quartel,5.92,3.68,6.2,7,2
Famoso,3.22,5.87,4.35,6,2
Macumba,2.78,2.29,6.75,7,2
Blusa,6.73,5.9,4.03,5,2
Básico,2.26,5.26,3.98,6,2
Ritmo,3.17,6.56,4.48,5,2
Estado,3.52,4.98,4.44,6,2
Intragável,2.3,2.83,6.8,10,2
Mentira,2.76,2.01,7.5,7,2
Briga,4.88,2.27,8.15,5,2
Tricô,5.77,5.15,3.22,5,2
Base,3.81,5.88,4.35,4,2
Rugido,3.81,4.05,6.42,6,2
Máquina,5.44,5.63,5.21,7,2
Bule,6.68,5.14,4.27,4,2
Doação,3.47,7.72,3.65,6,2
Queijo,6.76,6.38,3.76,6,2
Fofoca,3.06,2.5,6.31,6,2
Soldado,6.55,4.87,5.73,7,2
Honra,2.15,7.71,4.12,5,2
Cobertor,6.86,7.5,2.36,8,2
Cabelo,6.56,6.43,4.23,6,2
Defender,3.03,6.46,5.83,8,2
Pesadelo,2.84,1.93,7.8,8,2
Escuro,3.75,4.83,5.25,6,2
Namoro,3.97,7.84,4.09,6,2
Acordar,4.31,4.55,4.47,7,2
Decisão,2.09,5.77,6.3,7,2
Dedicado,2.43,7.35,4.31,8,2
Corrupção,3.59,1.89,7.73,9,2
Estrada,5.78,5.94,5.23,7,2
Descontrole,2.35,2.86,6.94,11,2
Delícia,2.95,8.34,3.31,7,2
Incentivo,2.57,7.6,3.92,9,3
Imbecil,2.3,2.59,6.41,7,3
Paciência,1.92,6.29,3.59,9,3
Massa,5.01,6.46,4.3,5,3
Nicotina,4.12,2.05,6.41,8,3
Tinta,6.38,5.18,4.3,5,3
Esperto,2.83,6.93,5.48,7,3
Bonito,3.59,7.85,4.58,6,3
Lesma,6.61,3.34,4.17,5,3
Pires,6.36,5.12,4.38,5,3
Pesca,4.95,6.24,3.45,5,3
Rede,5.72,6.84,3.52,4,3
Peixe,6.76,5.99,4.07,5,3
Adultério,3.63,2.2,7.52,9,3
Unha,6.65,5.44,4.53,4,3
Isqueiro,6.52,3.88,4.98,8,3
Gostoso,3.25,7.86,3.34,7,3
Abraço,4.41,8.13,2.87,6,3
Linha,5.36,4.91,4.11,5,3
Garras,5.25,4.03,6.45,6,3
Fumar,5.22,2.69,6.44,5,3
Estudo,3.82,6.7,6.12,6,3
Asfalto,6.41,5.35,5.23,7,3
Caixão,6.43,2.24,7.38,6,3
Silêncio,3.2,4.76,2.72,8,3
Fincar,4.25,4.26,5.55,6,3
Multidão,5.23,4.21,6.99,8,3
Defeito,2.69,3.04,6.11,7,3
Gordura,4.75,3.09,6.59,7,3
Obrigar,2.46,2.21,6.94,7,3
Julgamento,3.08,3.49,6.62,10,3
Noite,4.77,7.33,3.59,5,3
Brinco,6.51,6.04,3.74,6,3
Desonesto,2.37,2.36,7.74,9,3
Neve,5.97,6.18,3.25,4,3
Raiva,2.72,2.46,7.65,5,3
Fogo,6.41,5.02,6.66,4,3
Prejudicial,2.64,2.22,7.23,11,3
Almofada,6.52,6.54,2.5,8,3
Império,4.21,4.82,4.84,7,3
