Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Forte,3.53,7.08,4.47,5,1
Acusação,2.86,2.12,7.86,8,1
Nutritiva,3.51,7.12,3.2,9,1
Gargalhada,4.53,8.23,3.82,10,1
Louça,6.16,3.88,5.08,5,1
Confortável,2.82,7.92,2.34,11,1
Comida,6.59,7.99,3.85,6,1
Desfazer,2.73,3.99,5.78,8,1
Ira,2.71,2.51,7.79,3,1
Látex,5.29,5.13,4.8,5,1
Fio,5.74,4.75,4.94,3,1
Pó,5.61,3.66,5.49,2,1
Músculos,6.23,6.7,4.69,8,1
Cigarro,6.75,2.4,6.86,7,1
Ursinho,6.27,6.37,3.2,7,1
Chulé,3.76,2.46,6.66,5,1
Feroz,3.18,4.51,6.9,5,1
Zorra,3.57,4.96,6.12,5,1
Briga,4.88,2.27,8.15,5,1
Perda,2.57,2.11,7.32,5,1
Amigo,3.99,8.3,2.58,5,1
Carnaval,4.57,5.67,4.94,8,1
Borboleta,6.71,6.82,3.42,9,1
Nariz,6.54,5.49,4.47,5,1
Atitude,2.68,7.27,5.29,7,1
Fedor,3.09,2.11,6.96,5,1
Leveza,2.44,6.99,2.08,6,1
Ouvinte,4.03,6.18,4.09,7,1
Forçado,2.37,2.55,6.76,7,1
Triste,2.49,2.51,6.07,6,1
Desenho,4.83,7.12,3.66,7,1
Tortura,3.32,1.62,7.88,7,1
Arrependimento,1.95,3.96,6.47,14,1
Acidente,4.39,2.01,8.07,8,1
Árvore,6.59,6.73,2.91,6,1
Inteligência,2.31,8.18,4.3,12,1
Travesseiro,6.7,7.58,2.32,11,1
Flor,6.69,7.1,2.52,4,1
Exército,5.78,4.09,6.36,8,1
Transar,5.18,7.76,5.01,7,1
Fofo,3.43,6.69,2.79,4,2
Áspero,4.64,3.4,5.8,6,2
Saúde,3.55,8.14,4.16,5,2
Obrigar,2.46,2.21,6.94,7,2
Charuto,6.67,2.5,5.57,7,2
Estatura,3.79,5.74,4.56,8,2
Ponta,4.8,4.55,4.9,5,2
Movimento,3.2,6.46,4.38,9,2
Tensão,2.48,2.59,7.26,6,2
Fincar,4.25,4.26,5.55,6,2
Carro,6.85,7.18,4.5,5,2
Consultório,5.87,4.65,5.8,11,2
Maligno,2.53,1.82,7.32,7,2
Multidão,5.23,4.21,6.99,8,2
Suculenta,3.35,7.35,4.07,9,2
Lareira,6.3,6.46,3.5,7,2
Bocejo,5.15,6.03,2.84,6,2
Barco,6.43,6.07,3.73,5,2
Estupro,4.92,1.35,8.07,7,2
Objetivo,2.7,7.56,5.65,8,2
Aroma,2.79,7.26,3.37,5,2
Médico,6.18,5.66,5.7,6,2
Suco,6.34,6.8,2.41,4,2
Serra,5.26,6.09,4.48,5,2
Organização,2.93,6.6,4.35,11,2
Parar,3.55,4.04,4.72,5,2
Prejudicial,2.64,2.22,7.23,11,2
Paz,2.23,7.97,2.37,3,2
Alienado,2.71,2.97,6.42,8,2
Picada,5.3,2.55,6.88,6,2
Balanço,4.42,6.14,3.81,7,2
Remédio,5.86,4.01,6.24,7,2
Chute,5.18,3.77,5.66,5,2
Feminina,3.92,7.15,4.01,8,2
Insuportável,2.13,2.08,7.57,12,2
Borrar,3.83,3.82,4.99,6,2
Beijo,6.02,8.4,3.56,5,2
Claridade,4.67,6.16,4.2,9,2
Poema,4.27,6.84,2.82,5,2
Acompanhado,3.79,7.24,4.18,11,2
Oprimido,2.52,1.82,6.97,8,3
Insegurança,2.16,1.89,6.97,11,3
Respirar,4.4,7.77,3.27,8,3
Beleza,2.94,7.71,3.96,6,3
Longe,2.83,4.28,5.7,5,3
Esverdeado,4.24,5.64,4.62,10,3
Respeito,2.61,7.94,3.89,8,3
Brinco,6.51,6.04,3.74,6,3
Urbanização,4.41,5.43,4.91,11,3
Temperatura,3.73,5.53,5.23,11,3
Fuga,3.92,4.53,6.85,4,3
Estudo,3.82,6.7,6.12,6,3
Agito,2.76,6.25,5.82,5,3
Xícara,6.85,5.14,4.05,6,3
Velório,5.5,1.84,6.77,7,3
Viagem,4.62,8.24,3.28,6,3
Móvel,5.54,5.79,4.05,5,3
Lua,6.25,7.75,2.85,3,3
Peso,3.85,4.17,6.35,4,3
Geladeira,6.8,6.26,3.97,9,3
Estrada,5.78,5.94,5.23,7,3
Incentivo,2.57,7.6,3.92,9,3
Alto,4.29,5.77,5.15,4,3
Noite,4.77,7.33,3.59,5,3
Decepção,2.63,1.94,6.97,8,3
Flexível,3.19,7.05,3.66,8,3
Tubarão,6.76,3.46,7.08,7,3
Terra,5.94,6.13,4.28,5,3
Parede,6.69,4.5,4.68,6,3
Infidelidade,2.98,2.31,7.23,12,3
Imoral,2.19,3.03,6.8,6,3
Descansar,4.02,8.08,1.94,9,3
Máquina,5.44,5.63,5.21,7,3
Prato,6.88,5.89,3.64,5,3
Pessoa,5.36,6.72,4.65,6,3
Estojo,6.48,4.93,3.82,6,3
Francês,3.74,5.04,4.72,7,3
Falador,3.59,4.93,5.09,7,3
Farelo,5.59,4.8,4.57,6,3
Pesadelo,2.84,1.93,7.8,8,3
