Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Automóvel,6.69,7.08,4.82,9,1
Fuzilar,4.23,2.21,7.81,7,1
Problema,2.83,2.21,7.4,8,1
Bonito,3.59,7.85,4.58,6,1
Árvore,6.59,6.73,2.91,6,1
Trânsito,4.94,3.25,6.61,8,1
Festa,4.65,7.61,4.26,5,1
Cadeira,6.93,5.42,3.68,7,1
Lata,6.72,4.86,4.4,4,1
Carinho,3.32,8.04,2.45,7,1
Flâmula,3.9,5.16,4.63,7,1
Atrito,3.69,3.7,6.08,6,1
Gola,6.39,4.55,3.79,4,1
Relaxamento,2.36,7.77,1.86,11,1
Delinquente,3.31,2.1,6.73,11,1
Desenho,4.83,7.12,3.66,7,1
Voz,1.11,6.38,4.93,3,1
Russa,3.58,5.38,5.14,5,1
Música,4.34,8.1,2.61,6,1
Gravata,6.63,5.04,5.01,7,1
Longe,2.83,4.28,5.7,5,1
Paladar,3.4,7.13,4.29,7,1
Montanha,6.14,6.54,3.87,8,1
Ponte,6.47,5.33,4.63,5,1
Quente,3.76,4.87,4.96,6,1
Impiedade,2.44,1.96,7.41,9,1
Horizonte,3.81,7.23,2.3,9,1
Sala,5.88,5.34,4.45,4,1
Descanso,2.86,7.95,1.94,8,1
Gordura,4.75,3.09,6.59,7,1
Farda,6.04,4.42,5.99,5,1
Capaz,2.61,7.47,4.34,5,1
Fumar,5.22,2.69,6.44,5,1
Ira,2.71,2.51,7.79,3,1
Ouvir,3.33,6.69,3.86,5,1
Preguiça,3.08,3.42,3.73,8,1
Vermelho,4.96,6.25,5.86,8,1
Disciplina,2.62,6.24,5.41,10,1
Moradia,4.83,7.63,3.51,7,1
Olfato,3.99,6.36,4.22,6,1
Gelo,6.38,5.23,3.97,4,2
Sossego,2.32,7.85,1.75,7,2
Nada,1.61,4.04,4.37,4,2
Negro,5.12,5.75,3.57,5,2
Máquina,5.44,5.63,5.21,7,2
Cor,3.63,6.65,4.29,3,2
Saúde,3.55,8.14,4.16,5,2
Essencial,2.25,7.0,4.83,9,2
Chuva,6.11,6.56,3.72,5,2
Zoologico,6.32,6.32,3.55,9,2
Onça,6.74,4.67,6.21,4,2
Casaco,6.41,6.12,3.67,6,2
Inocência,2.17,5.97,3.38,9,2
Mal-estar,2.06,1.95,6.83,9,2
Barco,6.43,6.07,3.73,5,2
Fedor,3.09,2.11,6.96,5,2
Elevado,2.79,6.15,5.08,7,2
Enfermeiro,6.13,5.68,4.88,10,2
Futebol,5.59,5.45,4.89,7,2
Arquiteto,5.33,5.43,4.33,9,2
Pisar,4.56,4.98,5.11,5,2
Fada,3.67,5.84,3.39,4,2
Pavor,2.99,2.48,7.75,5,2
Suco,6.34,6.8,2.41,4,2
Respeito,2.61,7.94,3.89,8,2
Acidente,4.39,2.01,8.07,8,2
Elástica,3.3,5.35,4.85,8,2
Uva,6.78,6.55,3.29,3,2
Ladrão,5.49,1.61,8.05,6,2
Doença,3.51,1.72,7.59,6,2
Sentimento,2.21,7.47,4.8,10,2
Zeloso,2.59,7.38,3.06,6,2
Asfalto,6.41,5.35,5.23,7,2
Marte,5.48,4.79,4.97,5,2
Lanchonete,6.19,7.03,3.64,10,2
Desonesto,2.37,2.36,7.74,9,2
Mosca,6.61,2.43,6.02,5,2
Margarina,6.34,5.36,4.04,9,2
Glória,2.18,7.49,4.29,6,2
Namoro,3.97,7.84,4.09,6,2
Alívio,2.86,7.94,2.17,6,3
Nascimento,3.67,7.45,4.43,10,3
Multidão,5.23,4.21,6.99,8,3
Travesseiro,6.7,7.58,2.32,11,3
Poder,2.27,6.29,5.99,5,3
Furto,4.9,2.11,7.64,5,3
Entusiasmo,2.43,7.92,4.29,10,3
Devagar,3.3,3.93,4.36,7,3
Soberano,2.44,5.38,5.33,8,3
Prazer,3.02,8.19,4.02,6,3
Aborto,4.53,2.28,7.73,6,3
Luar,4.78,7.58,3.29,4,3
Rio,6.61,7.27,2.91,3,3
Tirânico,3.27,2.85,7.05,8,3
Aconchego,2.94,8.27,1.93,9,3
Injeção,6.33,3.27,6.72,7,3
Violência,3.79,1.85,7.95,9,3
Boneca,6.55,5.63,3.76,6,3
Tristeza,2.64,2.18,6.63,8,3
Margem,4.54,5.22,4.76,6,3
Haste,5.46,5.06,4.05,5,3
Mesa,6.89,5.46,3.64,4,3
Viagem,4.62,8.24,3.28,6,3
Gozador,2.99,5.15,5.74,7,3
Cura,3.27,8.18,3.48,4,3
Elogio,2.35,8.04,3.58,6,3
Neve,5.97,6.18,3.25,4,3
Descartável,3.48,4.46,4.61,11,3
Palheiro,5.57,4.86,4.03,8,3
Trauma,2.49,2.04,6.98,6,3
Persiana,6.65,5.58,3.72,8,3
Panela,6.56,4.83,4.43,6,3
Coroa,6.18,6.22,4.22,5,3
Fofoca,3.06,2.5,6.31,6,3
Ausência,2.31,2.39,6.77,8,3
Bolso,5.95,5.46,4.57,5,3
Maracujá,6.62,6.71,3.05,8,3
Vulcão,6.07,4.17,6.68,6,3
Estado,3.52,4.98,4.44,6,3
Repolho,6.69,4.65,4.86,7,3
