Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Sombra,3.76,6.19,4.03,6,1
Algodão,6.64,5.91,3.3,7,1
Fio,5.74,4.75,4.94,3,1
Meiga,2.66,7.44,3.19,5,1
Abominável,2.53,2.43,7.03,10,1
Bonita,4.15,7.78,3.36,6,1
Tortura,3.32,1.62,7.88,7,1
Ardente,2.86,5.86,6.2,7,1
Zombador,3.07,3.12,6.46,8,1
Louça,6.16,3.88,5.08,5,1
Alegria,2.44,8.28,3.13,7,1
Nascimento,3.67,7.45,4.43,10,1
Analgésico,4.75,4.99,3.22,10,1
Paraíso,2.97,8.23,2.58,7,1
Esquecida,2.65,3.39,5.61,9,1
Peçonha,3.32,2.95,6.58,7,1
Movimento,3.2,6.46,4.38,9,1
Móvel,5.54,5.79,4.05,5,1
Agulha,6.77,4.08,6.18,6,1
Muro,6.53,4.11,4.52,4,1
País,4.35,6.11,5.41,4,1
Grande,3.76,6.27,4.71,6,1
Fofo,3.43,6.69,2.79,4,1
Fuzilar,4.23,2.21,7.81,7,1
Colégio,6.24,6.36,5.38,7,1
Asquerosa,2.63,3.09,6.01,9,1
Professor,6.11,6.09,5.27,9,1
Xingação,2.42,2.6,6.94,8,1
Atraso,2.6,3.15,6.96,6,1
Túmulo,6.28,2.23,6.74,6,1
Inseto,5.78,3.32,5.86,6,1
Cama,6.84,7.84,2.68,4,1
Bandeira,6.42,5.53,4.21,8,1
Raiva,2.72,2.46,7.65,5,1
Botão,6.26,5.25,3.79,5,1
Maconha,5.86,3.03,6.31,7,1
Atitude,2.68,7.27,5.29,7,1
Blusa,6.73,5.9,4.03,5,1
Artista,4.54,6.57,3.67,7,1
Fobia,2.29,2.24,7.45,5,1
Frio,3.42,4.65,4.74,4,2
Ansiedade,2.42,2.88,7.0,9,2
Tirânico,3.27,2.85,7.05,8,2
Fincar,4.25,4.26,5.55,6,2
Linha,5.36,4.91,4.11,5,2
Francês,3.74,5.04,4.72,7,2
Carboidratos,3.8,5.82,4.83,12,2
Diabetes,3.52,2.24,6.91,8,2
Demora,2.88,2.57,7.08,6,2
Fracasso,2.49,1.51,7.85,8,2
Prejudicial,2.64,2.22,7.23,11,2
Cedo,2.93,4.89,4.77,4,2
Feia,2.74,3.31,5.76,4,2
Chão,6.23,5.76,3.76,4,2
Meia,6.18,5.8,3.49,4,2
Conseguir,2.72,8.17,4.0,9,2
Ouvinte,4.03,6.18,4.09,7,2
Xícara,6.85,5.14,4.05,6,2
Balanço,4.42,6.14,3.81,7,2
Livro,6.69,7.43,3.82,5,2
Vida,2.96,8.11,3.31,4,2
Gripe,3.86,2.49,6.14,5,2
Dedos,6.71,5.93,3.54,5,2
Dente,6.75,5.56,5.04,5,2
Cheirar,4.06,6.22,4.02,7,2
Responsabilidade,2.28,7.01,5.41,16,2
Margarina,6.34,5.36,4.04,9,2
Pular,4.93,6.31,5.39,5,2
Sufoco,2.38,2.51,7.68,6,2
Escola,5.96,6.55,5.1,6,2
Juventude,2.94,7.18,4.07,9,2
Droga,4.9,2.65,7.45,5,2
Direção,2.86,6.34,5.26,7,2
Bule,6.68,5.14,4.27,4,2
Carícia,3.6,8.07,3.01,7,2
Imoral,2.19,3.03,6.8,6,2
Jaula,6.5,2.04,7.15,5,2
Navalha,6.33,3.49,6.63,7,2
Açúcar,6.41,6.56,3.68,6,2
Encosto,4.19,3.95,5.17,7,2
Montanha,6.14,6.54,3.87,8,3
Loucura,2.47,4.48,6.9,7,3
Fome,3.14,2.19,7.23,4,3
Paquerar,3.42,7.55,4.66,8,3
Tampa,6.07,4.81,4.14,5,3
Tubarão,6.76,3.46,7.08,7,3
Conquista,3.26,8.19,5.5,9,3
Beatitude,2.06,4.86,4.46,9,3
Lixa,6.57,4.45,4.59,4,3
Empresário,5.46,5.94,4.77,10,3
Lua,6.25,7.75,2.85,3,3
Médico,6.18,5.66,5.7,6,3
Arrependimento,1.95,3.96,6.47,14,3
Vigilante,4.8,5.07,5.37,9,3
Cabra,6.44,4.29,4.42,5,3
Preto,4.97,5.67,4.59,5,3
Amargura,2.41,1.96,5.8,8,3
Companheiro,4.23,7.94,3.24,11,3
Mel,6.2,7.05,3.22,3,3
Furto,4.9,2.11,7.64,5,3
Massa,5.01,6.46,4.3,5,3
Quente,3.76,4.87,4.96,6,3
Nojo,2.36,2.53,6.59,4,3
Deficiente,4.2,3.73,6.08,10,3
Assalto,4.25,1.8,7.86,7,3
Degolar,4.49,2.24,7.46,7,3
Olfato,3.99,6.36,4.22,6,3
Música,4.34,8.1,2.61,6,3
Livre,2.4,7.59,2.8,5,3
Isqueiro,6.52,3.88,4.98,8,3
Sentimento,2.21,7.47,4.8,10,3
Gasolina,6.42,4.86,5.75,8,3
Voz,1.11,6.38,4.93,3,3
Gelo,6.38,5.23,3.97,4,3
Necessidade,2.19,4.82,5.88,11,3
Cidade,6.15,5.73,4.93,6,3
Elogio,2.35,8.04,3.58,6,3
Fedor,3.09,2.11,6.96,5,3
Cenoura,6.78,5.51,3.5,7,3
Insegurança,2.16,1.89,6.97,11,3
