Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Massa,5.01,6.46,4.3,5,1
Beleza,2.94,7.71,3.96,6,1
Asfalto,6.41,5.35,5.23,7,1
Vendedor,5.66,4.41,5.76,8,1
Status,2.91,5.47,5.42,6,1
Ira,2.71,2.51,7.79,3,1
Chapéu,6.76,5.31,4.5,6,1
Preconceito,1.97,2.31,7.03,11,1
Degolar,4.49,2.24,7.46,7,1
Maracujá,6.62,6.71,3.05,8,1
Fedor,3.09,2.11,6.96,5,1
Paciência,1.92,6.29,3.59,9,1
Soberano,2.44,5.38,5.33,8,1
Raça,3.54,5.04,4.37,4,1
Ponta,4.8,4.55,4.9,5,1
Pecado,2.29,3.36,6.41,6,1
Escrever,5.76,6.15,4.41,8,1
Látex,5.29,5.13,4.8,5,1
Peçonha,3.32,2.95,6.58,7,1
Lanchonete,6.19,7.03,3.64,10,1
Goiaba,6.79,6.42,3.63,6,1
Objeto,6.11,5.35,4.45,6,1
Músculos,6.23,6.7,4.69,8,1
Freira,6.37,4.77,3.93,6,1
Parede,6.69,4.5,4.68,6,1
Galinha,6.77,5.29,3.9,7,1
Natureza,4.06,7.91,2.56,8,1
Sepultar,4.35,1.96,7.36,8,1
Masculino,4.33,5.58,4.34,9,1
Moto,6.66,4.91,5.56,4,1
Aroma,2.79,7.26,3.37,5,1
Alguém,3.23,6.82,4.25,6,1
Agressão,3.14,1.73,7.93,8,1
Rude,2.83,2.7,6.81,4,1
Bem-estar,2.68,8.13,2.22,9,1
Defesa,2.58,6.16,5.63,6,1
Camisa,6.73,5.65,3.72,6,1
Caminhar,4.5,6.5,3.18,8,1
Agradável,2.47,8.14,2.33,9,1
Vantagem,2.03,6.09,4.43,8,1
Bicho,5.28,5.53,4.71,5,2
Leão,6.65,5.03,6.5,4,2
Pernas,6.58,6.71,4.8,6,2
Macumba,2.78,2.29,6.75,7,2
Repolho,6.69,4.65,4.86,7,2
Pesadelo,2.84,1.93,7.8,8,2
Policial,6.44,4.68,5.97,8,2
Fim,2.54,4.07,5.46,3,2
Tartaruga,6.75,5.85,3.34,9,2
Riqueza,3.35,7.57,4.69,7,2
Fermento,6.05,4.96,4.9,8,2
Desenho,4.83,7.12,3.66,7,2
Catástrofe,4.18,1.76,7.91,10,2
Gentileza,3.15,8.08,2.52,9,2
Marte,5.48,4.79,4.97,5,2
Orgânico,3.86,6.04,4.2,8,2
Tremor,3.56,3.27,6.81,6,2
Espirro,5.19,4.68,4.75,7,2
Vício,3.19,2.34,7.08,5,2
Pequena,3.67,5.06,3.88,7,2
Letra,5.25,5.53,3.99,5,2
Tomar,3.8,5.51,4.58,5,2
Casa,6.63,7.71,2.75,4,2
Coleta,3.38,5.31,4.43,6,2
Melancolia,2.23,2.4,5.25,10,2
Estica,3.34,5.34,4.63,6,2
Sorvete,6.49,7.62,3.06,7,2
Desilusão,1.94,2.05,6.48,9,2
Feminina,3.92,7.15,4.01,8,2
Cinza,4.88,4.42,4.79,5,2
Tranquilidade,2.34,8.04,2.18,13,2
Pureza,2.19,7.6,2.31,6,2
Tirânico,3.27,2.85,7.05,8,2
Saudável,2.94,8.02,2.82,8,2
Decisão,2.09,5.77,6.3,7,2
Pedra,6.65,4.81,4.85,5,2
Novo,2.85,7.19,4.31,4,2
Montanha,6.14,6.54,3.87,8,2
Pobreza,4.35,2.22,7.09,7,2
Lagoa,6.42,7.3,2.93,5,2
Aborto,4.53,2.28,7.73,6,3
Rodas,6.5,5.39,4.85,5,3
Papel,6.64,5.33,4.05,5,3
Homicídio,4.08,1.7,7.82,9,3
Sentimento,2.21,7.47,4.8,10,3
Jardim,6.47,7.34,2.32,6,3
Notas,4.16,5.93,6.5,5,3
Azul,4.35,6.88,3.09,4,3
Blusa,6.73,5.9,4.03,5,3
Veneno,5.01,2.59,7.39,6,3
Multidão,5.23,4.21,6.99,8,3
Gasolina,6.42,4.86,5.75,8,3
Nutritiva,3.51,7.12,3.2,9,3
Demora,2.88,2.57,7.08,6,3
Independência,2.53,8.11,5.04,13,3
Cheirar,4.06,6.22,4.02,7,3
Insegurança,2.16,1.89,6.97,11,3
Faro,2.78,6.04,4.3,4,3
Vidro,6.31,5.51,5.0,5,3
Chata,2.76,2.61,6.57,5,3
Rugoso,4.62,3.94,4.98,6,3
Costura,4.73,4.91,4.54,7,3
Fundo,3.66,4.38,5.83,5,3
Mel,6.2,7.05,3.22,3,3
Tarde,3.8,5.08,3.98,5,3
Esverdeado,4.24,5.64,4.62,10,3
Barco,6.43,6.07,3.73,5,3
Sujeira,5.6,2.57,6.41,7,3
Cantor,5.99,6.56,3.51,6,3
Guerra,3.97,2.07,7.68,6,3
Belo,2.29,7.58,3.12,4,3
Quente,3.76,4.87,4.96,6,3
Caça,3.81,3.91,5.98,4,3
Racional,2.51,6.37,4.49,8,3
Margarina,6.34,5.36,4.04,9,3
Repouso,3.27,7.94,1.97,7,3
Trabalho,4.47,6.38,5.51,8,3
Simpatia,2.45,7.88,3.33,8,3
Harmonia,1.96,8.01,2.27,8,3
Celestial,2.06,7.34,3.07,9,3
