Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Rio,6.61,7.27,2.91,3,1
Confortável,2.82,7.92,2.34,11,1
Bem-estar,2.68,8.13,2.22,9,1
Horizonte,3.81,7.23,2.3,9,1
Tragar,3.79,2.65,5.4,6,1
Chapéu,6.76,5.31,4.5,6,1
Corrigir,3.3,4.48,5.31,8,1
Pires,6.36,5.12,4.38,5,1
Zoologico,6.32,6.32,3.55,9,1
Beber,5.25,5.68,4.4,5,1
Adultério,3.63,2.2,7.52,9,1
Pêssego,6.47,6.29,3.37,7,1
Suspiro,3.64,6.13,3.58,7,1
Histérico,3.04,2.94,7.02,9,1
Longe,2.83,4.28,5.7,5,1
Raiva,2.72,2.46,7.65,5,1
Queijo,6.76,6.38,3.76,6,1
Sepultar,4.35,1.96,7.36,8,1
Azul,4.35,6.88,3.09,4,1
Movimento,3.2,6.46,4.38,9,1
Curtir,2.56,7.71,3.32,6,1
Farinha,6.59,5.51,4.29,7,1
Peso,3.85,4.17,6.35,4,1
Desperdício,2.73,2.06,6.57,11,1
Consultório,5.87,4.65,5.8,11,1
Batalha,3.89,3.97,6.97,7,1
Saúde,3.55,8.14,4.16,5,1
Quartel,5.92,3.68,6.2,7,1
Bule,6.68,5.14,4.27,4,1
Essencial,2.25,7.0,4.83,9,1
Bom,2.32,7.6,2.74,3,1
Acompanhado,3.79,7.24,4.18,11,1
País,4.35,6.11,5.41,4,1
Branco,5.02,6.39,3.23,6,1
Ruim,2.53,2.2,6.7,4,1
Pátio,5.44,6.18,3.72,5,1
Agonia,2.42,1.89,7.66,6,1
Sentar,4.93,6.36,2.67,6,1
Carinho,3.32,8.04,2.45,7,1
Chuva,6.11,6.56,3.72,5,1
Viagem,4.62,8.24,3.28,6,2
Nicotina,4.12,2.05,6.41,8,2
Livre,2.4,7.59,2.8,5,2
Afetuoso,2.52,7.81,3.46,8,2
Hospital,6.56,3.68,6.81,8,2
Euforia,2.45,6.17,5.78,7,2
Professor,6.11,6.09,5.27,9,2
Calor,4.03,5.25,5.51,5,2
Quarto,5.91,7.23,3.13,6,2
Macio,3.96,6.73,2.32,5,2
Pano,6.29,4.96,4.4,4,2
Fruta,6.57,6.94,3.35,5,2
Lanchonete,6.19,7.03,3.64,10,2
Claridade,4.67,6.16,4.2,9,2
Gordo,5.65,2.86,5.83,5,2
Fedor,3.09,2.11,6.96,5,2
Dedurar,2.85,2.32,6.68,7,2
Cachoeira,6.45,7.46,2.94,9,2
Prova,5.51,4.23,7.39,5,2
Podre,3.48,2.22,6.79,5,2
Preto,4.97,5.67,4.59,5,2
Pássaros,6.34,7.28,2.88,8,2
Locomoção,3.91,6.21,4.92,9,2
Sopa,6.54,6.04,3.9,4,2
Superior,2.73,5.96,5.51,8,2
Susto,3.24,3.18,7.07,5,2
Representação,2.24,5.39,5.09,13,2
Psicólogo,5.12,5.43,4.71,9,2
Suave,2.59,6.77,2.19,5,2
Noite,4.77,7.33,3.59,5,2
Nascimento,3.67,7.45,4.43,10,2
Ponta,4.8,4.55,4.9,5,2
Desespero,2.44,2.12,7.38,9,2
Imoral,2.19,3.03,6.8,6,2
Droga,4.9,2.65,7.45,5,2
Glória,2.18,7.49,4.29,6,2
Prazer,3.02,8.19,4.02,6,2
Ouvir,3.33,6.69,3.86,5,2
Leveza,2.44,6.99,2.08,6,2
Roupa,6.33,6.58,4.22,5,2
Pesadelo,2.84,1.93,7.8,8,3
Felicidade,2.31,8.38,2.75,10,3
Acordar,4.31,4.55,4.47,7,3
Tinta,6.38,5.18,4.3,5,3
Feroz,3.18,4.51,6.9,5,3
Leite,6.63,6.31,3.33,5,3
Sofrimento,2.48,2.05,6.2,10,3
Estupro,4.92,1.35,8.07,7,3
Marido,5.89,5.96,5.12,6,3
Celestial,2.06,7.34,3.07,9,3
Falador,3.59,4.93,5.09,7,3
Pulseira,6.37,5.37,3.86,8,3
Título,3.79,5.47,4.59,6,3
Tecido,5.87,5.51,3.87,6,3
Tarde,3.8,5.08,3.98,5,3
Poder,2.27,6.29,5.99,5,3
Dedos,6.71,5.93,3.54,5,3
Momento,2.13,6.2,3.98,7,3
Parar,3.55,4.04,4.72,5,3
Brincadeira,3.47,7.65,2.83,11,3
Paquerar,3.42,7.55,4.66,8,3
Corpo,6.34,6.72,4.9,5,3
Pato,6.86,5.6,3.58,4,3
Lixo,5.68,2.55,6.07,4,3
Beatitude,2.06,4.86,4.46,9,3
Juventude,2.94,7.18,4.07,9,3
Lã,6.29,5.56,3.54,2,3
Carícia,3.6,8.07,3.01,7,3
Rancor,1.98,2.34,6.5,6,3
Vantagem,2.03,6.09,4.43,8,3
Estatura,3.79,5.74,4.56,8,3
Mar,6.63,7.94,3.13,3,3
Infância,4.15,7.26,3.17,8,3
Cochilar,4.38,7.71,2.19,8,3
Saco,6.12,4.31,4.97,4,3
Cantor,5.99,6.56,3.51,6,3
Cigarro,6.75,2.4,6.86,7,3
Sangue,6.1,4.47,5.36,6,3
Áspero,4.64,3.4,5.8,6,3
Simpatia,2.45,7.88,3.33,8,3
