Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Reciprocidade,2.37,7.27,3.67,13,1
Artista,4.54,6.57,3.67,7,1
Corrupção,3.59,1.89,7.73,9,1
Melodia,3.48,7.77,2.61,7,1
Vantagem,2.03,6.09,4.43,8,1
Revólver,6.72,2.25,7.93,8,1
Dedos,6.71,5.93,3.54,5,1
Consciência,1.61,7.19,4.48,11,1
Mágoa,2.5,2.03,6.9,5,1
Fofoca,3.06,2.5,6.31,6,1
Juba,5.68,4.47,4.8,4,1
Presídio,6.08,2.38,7.49,8,1
Gostoso,3.25,7.86,3.34,7,1
Delícia,2.95,8.34,3.31,7,1
Sala,5.88,5.34,4.45,4,1
Doação,3.47,7.72,3.65,6,1
Rede,5.72,6.84,3.52,4,1
Sabor,3.07,7.42,3.64,5,1
Pulseira,6.37,5.37,3.86,8,1
Perigo,3.17,3.12,7.87,6,1
Cor,3.63,6.65,4.29,3,1
Linha,5.36,4.91,4.11,5,1
Negro,5.12,5.75,3.57,5,1
Edifício,6.63,5.19,4.44,8,1
Pesadelo,2.84,1.93,7.8,8,1
Fio,5.74,4.75,4.94,3,1
Catástrofe,4.18,1.76,7.91,10,1
Paz,2.23,7.97,2.37,3,1
Dor,3.08,1.88,7.39,3,1
Cuidado,2.33,6.33,6.7,7,1
Coroa,6.18,6.22,4.22,5,1
Arrependimento,1.95,3.96,6.47,14,1
Chinelo,6.49,6.34,3.23,7,1
Chuchu,6.74,4.8,3.94,6,1
Guitarra,6.69,5.9,4.91,8,1
Sanduíche,6.54,7.3,4.07,9,1
Calçado,6.03,6.21,4.02,7,1
Xingação,2.42,2.6,6.94,8,1
Saco,6.12,4.31,4.97,4,1
Rodoviária,6.29,3.52,6.57,10,1
Rude,2.83,2.7,6.81,4,2
Metrópole,5.0,4.65,6.25,9,2
Goiaba,6.79,6.42,3.63,6,2
Mesa,6.89,5.46,3.64,4,2
Costura,4.73,4.91,4.54,7,2
Cozinha,6.15,6.27,3.72,7,2
Sangue,6.1,4.47,5.36,6,2
Selva,5.6,5.13,6.05,5,2
Chuva,6.11,6.56,3.72,5,2
Amizade,2.44,8.17,3.03,7,2
Banana,6.75,5.91,4.03,6,2
Pessoa,5.36,6.72,4.65,6,2
Salgado,4.4,5.89,4.76,7,2
Esquecimento,2.34,3.17,6.66,12,2
Bravo,3.1,3.17,6.97,5,2
Advogado,5.94,4.67,5.68,8,2
Quartel,5.92,3.68,6.2,7,2
Pecado,2.29,3.36,6.41,6,2
Julgamento,3.08,3.49,6.62,10,2
Farda,6.04,4.42,5.99,5,2
Fuga,3.92,4.53,6.85,4,2
Dentista,6.06,4.31,5.97,8,2
Comunicação,3.39,7.28,4.79,11,2
Fragrância,3.86,7.08,3.76,10,2
Calça,6.57,5.83,3.47,5,2
País,4.35,6.11,5.41,4,2
Pé,6.69,5.14,3.65,2,2
Discriminação,3.18,2.42,6.83,13,2
Azul,4.35,6.88,3.09,4,2
Hino,4.3,5.74,4.29,4,2
Galinha,6.77,5.29,3.9,7,2
Prato,6.88,5.89,3.64,5,2
Fina,3.21,5.15,3.65,4,2
Glória,2.18,7.49,4.29,6,2
Angelical,2.44,7.06,7.28,9,2
Carência,2.06,3.27,5.84,8,2
Escrever,5.76,6.15,4.41,8,2
Simpatia,2.45,7.88,3.33,8,2
Degolar,4.49,2.24,7.46,7,2
Ódio,2.21,2.22,7.72,4,2
Honestidade,2.56,8.22,3.1,11,3
Inteligente,2.51,7.83,4.15,11,3
Maçã,6.84,6.49,3.62,4,3
Defender,3.03,6.46,5.83,8,3
Espirro,5.19,4.68,4.75,7,3
Estatura,3.79,5.74,4.56,8,3
Trauma,2.49,2.04,6.98,6,3
Beber,5.25,5.68,4.4,5,3
Objetivo,2.7,7.56,5.65,8,3
Zoologico,6.32,6.32,3.55,9,3
Escalada,4.21,5.92,5.28,8,3
Cedo,2.93,4.89,4.77,4,3
Decepar,5.04,2.33,7.78,7,3
Lanche,6.03,7.52,3.68,6,3
Fúria,2.45,2.91,7.42,5,3
Fundo,3.66,4.38,5.83,5,3
Músculos,6.23,6.7,4.69,8,3
Temperatura,3.73,5.53,5.23,11,3
Livre,2.4,7.59,2.8,5,3
Gola,6.39,4.55,3.79,4,3
Nervosismo,2.57,2.08,7.44,10,3
Mão,6.76,6.16,4.05,3,3
Louça,6.16,3.88,5.08,5,3
Tragar,3.79,2.65,5.4,6,3
Marido,5.89,5.96,5.12,6,3
Suspiro,3.64,6.13,3.58,7,3
Sonhar,2.28,7.55,3.38,6,3
Colégio,6.24,6.36,5.38,7,3
Amargura,2.41,1.96,5.8,8,3
Tremor,3.56,3.27,6.81,6,3
Militar,5.67,4.65,6.2,7,3
Parede,6.69,4.5,4.68,6,3
Árvore,6.59,6.73,2.91,6,3
Caneta,6.72,5.41,4.04,6,3
Poluição,4.5,2.28,7.36,8,3
Irritação,2.86,2.0,7.0,9,3
Monarquia,3.33,4.07,5.33,9,3
Flor,6.69,7.1,2.52,4,3
Gargalhada,4.53,8.23,3.82,10,3
Asfalto,6.41,5.35,5.23,7,3
