Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Lanchonete,6.19,7.03,3.64,10,1
Raça,3.54,5.04,4.37,4,1
Margarina,6.34,5.36,4.04,9,1
Ira,2.71,2.51,7.79,3,1
Automóvel,6.69,7.08,4.82,9,1
Masculino,4.33,5.58,4.34,9,1
Morango,6.63,7.3,2.77,7,1
Moradia,4.83,7.63,3.51,7,1
Bolo,6.65,7.32,3.88,4,1
Abraço,4.41,8.13,2.87,6,1
Tensão,2.48,2.59,7.26,6,1
Representação,2.24,5.39,5.09,13,1
Benção,2.94,7.48,2.67,6,1
Batalha,3.89,3.97,6.97,7,1
Cólera,2.87,2.19,7.06,6,1
Lugar,3.06,5.89,4.07,5,1
Saia,6.37,6.75,4.79,4,1
Cega,3.68,2.54,6.25,4,1
Farda,6.04,4.42,5.99,5,1
Paladar,3.4,7.13,4.29,7,1
Brilhante,3.99,7.34,3.74,9,2
Alguém,3.23,6.82,4.25,6,2
Honra,2.15,7.71,4.12,5,2
Revólver,6.72,2.25,7.93,8,2
Bem-estar,2.68,8.13,2.22,9,2
Espirro,5.19,4.68,4.75,7,2
Botão,6.26,5.25,3.79,5,2
Casaco,6.41,6.12,3.67,6,2
Susto,3.24,3.18,7.07,5,2
Haste,5.46,5.06,4.05,5,2
Feia,2.74,3.31,5.76,4,2
Guloseima,4.88,7.14,4.28,9,2
Caderno,6.75,5.44,4.53,7,2
Sentimento,2.21,7.47,4.8,10,2
Cinto,6.7,4.87,4.88,5,2
Material,4.35,5.22,4.54,8,2
Novo,2.85,7.19,4.31,4,2
Veneno,5.01,2.59,7.39,6,2
Saudade,1.98,4.44,5.29,7,2
Lápis,6.72,5.48,4.16,5,2
