Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Gravador,6.37,4.67,4.78,8,1
Zombador,3.07,3.12,6.46,8,1
Nascimento,3.67,7.45,4.43,10,1
Carboidratos,3.8,5.82,4.83,12,1
Macumba,2.78,2.29,6.75,7,1
Preguiça,3.08,3.42,3.73,8,1
Automóvel,6.69,7.08,4.82,9,1
Costura,4.73,4.91,4.54,7,1
Duro,4.69,3.67,5.19,4,1
Trauma,2.49,2.04,6.98,6,1
Vantagem,2.03,6.09,4.43,8,1
Grande,3.76,6.27,4.71,6,1
Neve,5.97,6.18,3.25,4,1
Pular,4.93,6.31,5.39,5,1
Salada,6.29,6.72,3.7,6,1
Tristeza,2.64,2.18,6.63,8,1
Esverdeado,4.24,5.64,4.62,10,1
Inverno,4.17,6.47,3.98,7,1
Justo,2.5,7.57,4.02,5,1
Casaco,6.41,6.12,3.67,6,1
Gripe,3.86,2.49,6.14,5,2
Calor,4.03,5.25,5.51,5,2
Lã,6.29,5.56,3.54,2,2
Goiaba,6.79,6.42,3.63,6,2
Xícara,6.85,5.14,4.05,6,2
Notas,4.16,5.93,6.5,5,2
Desilusão,1.94,2.05,6.48,9,2
Transporte,5.01,5.19,5.25,10,2
Sonolento,3.68,4.19,3.97,9,2
Confiança,1.94,7.75,3.83,9,2
Melancolia,2.23,2.4,5.25,10,2
Igreja,6.23,6.45,3.75,6,2
Fragrância,3.86,7.08,3.76,10,2
Velocidade,3.77,6.16,6.28,10,2
Margem,4.54,5.22,4.76,6,2
Xingação,2.42,2.6,6.94,8,2
Porco,6.7,3.7,4.98,5,2
Descansar,4.02,8.08,1.94,9,2
Batalha,3.89,3.97,6.97,7,2
Respirar,4.4,7.77,3.27,8,2
