Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Sorriso,5.02,8.14,2.65,7,1
Acusar,2.89,2.65,7.23,6,1
Gozo,3.17,7.49,4.34,4,1
Subir,3.51,6.22,4.76,5,1
Mãe,5.95,8.35,2.72,3,1
Estojo,6.48,4.93,3.82,6,1
Corajoso,2.81,7.66,4.78,8,1
Liberdade,2.34,7.92,4.34,9,1
Aceitação,2.32,6.79,4.28,9,1
Desilusão,1.94,2.05,6.48,9,1
Adultério,3.63,2.2,7.52,9,1
Acidente,4.39,2.01,8.07,8,1
Aspirar,3.23,6.5,4.08,7,1
Nojo,2.36,2.53,6.59,4,1
Armas,6.42,2.26,7.71,5,1
Colchão,6.69,6.98,2.36,7,1
Baixo,3.59,4.51,3.74,5,1
Rainha,5.46,5.93,4.23,6,1
Despreocupação,2.16,7.01,3.79,14,1
Quarto,5.91,7.23,3.13,6,1
Dança,5.32,6.9,4.45,5,2
Ódio,2.21,2.22,7.72,4,2
Objeto,6.11,5.35,4.45,6,2
Título,3.79,5.47,4.59,6,2
Poluição,4.5,2.28,7.36,8,2
Brincadeira,3.47,7.65,2.83,11,2
Aroma,2.79,7.26,3.37,5,2
Claridade,4.67,6.16,4.2,9,2
Seco,3.88,3.9,4.99,4,2
Esperto,2.83,6.93,5.48,7,2
Acompanhado,3.79,7.24,4.18,11,2
Oprimido,2.52,1.82,6.97,8,2
Repouso,3.27,7.94,1.97,7,2
Amigo,3.99,8.3,2.58,5,2
Movimento,3.2,6.46,4.38,9,2
Mesa,6.89,5.46,3.64,4,2
Advogado,5.94,4.67,5.68,8,2
Decadência,2.28,2.28,7.14,10,2
Sapato,6.89,5.83,4.06,6,2
Básico,2.26,5.26,3.98,6,2
