Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Areia,6.25,5.46,3.14,5,1
Colo,4.11,7.46,2.85,4,1
Mal-estar,2.06,1.95,6.83,9,1
Baderna,3.45,3.43,6.48,7,1
Impiedade,2.44,1.96,7.41,9,1
Calcanhar,6.35,4.78,4.44,9,1
Social,2.15,6.14,4.48,6,1
Obstáculo,3.59,4.15,6.35,9,1
Blusa,6.73,5.9,4.03,5,1
Leveza,2.44,6.99,2.08,6,1
Agito,2.76,6.25,5.82,5,1
Grito,4.13,3.88,6.98,5,1
Honra,2.15,7.71,4.12,5,1
Claridade,4.67,6.16,4.2,9,1
Banho,5.15,7.95,2.72,5,1
Notas,4.16,5.93,6.5,5,1
Caneta,6.72,5.41,4.04,6,1
Tranquilidade,2.34,8.04,2.18,13,1
Vitamina,4.9,6.42,4.0,8,1
Móvel,5.54,5.79,4.05,5,1
Torta,6.1,7.35,3.26,5,2
Urbanização,4.41,5.43,4.91,11,2
Magro,5.27,5.83,3.85,5,2
Proteção,2.67,8.03,3.58,8,2
Emoção,2.28,7.04,6.12,6,2
Elástica,3.3,5.35,4.85,8,2
Amar,2.56,8.08,3.74,4,2
Coleta,3.38,5.31,4.43,6,2
Cólera,2.87,2.19,7.06,6,2
Dedos,6.71,5.93,3.54,5,2
Janela,6.48,5.63,3.69,6,2
Corrigir,3.3,4.48,5.31,8,2
Representação,2.24,5.39,5.09,13,2
Aranha,6.77,3.15,6.04,6,2
Atraso,2.6,3.15,6.96,6,2
Gelo,6.38,5.23,3.97,4,2
Música,4.34,8.1,2.61,6,2
Rede,5.72,6.84,3.52,4,2
Adoecer,3.69,2.16,7.17,7,2
Serenidade,1.92,7.48,2.61,10,2
