Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Beatitude,2.06,4.86,4.46,9,1
Medo,2.52,2.54,7.36,4,1
Lesma,6.61,3.34,4.17,5,1
Vaca,6.8,5.51,4.33,4,1
Corajoso,2.81,7.66,4.78,8,1
Calma,2.37,7.5,2.28,5,1
Serra,5.26,6.09,4.48,5,1
Fuga,3.92,4.53,6.85,4,1
Enfermeiro,6.13,5.68,4.88,10,1
Deus,2.95,7.53,3.19,4,1
Livro,6.69,7.43,3.82,5,1
Roupa,6.33,6.58,4.22,5,1
Câncer,4.58,1.69,7.65,6,1
Tecido,5.87,5.51,3.87,6,1
Tosse,5.35,2.42,6.33,5,1
Rigidez,2.94,4.05,6.03,7,1
Peso,3.85,4.17,6.35,4,1
Rugoso,4.62,3.94,4.98,6,1
Quarto,5.91,7.23,3.13,6,1
Baixo,3.59,4.51,3.74,5,1
Funeral,4.78,2.0,7.23,7,2
Ponta,4.8,4.55,4.9,5,2
Leão,6.65,5.03,6.5,4,2
Voz,1.11,6.38,4.93,3,2
Morango,6.63,7.3,2.77,7,2
Cadeado,6.41,3.89,5.22,7,2
Isqueiro,6.52,3.88,4.98,8,2
Trânsito,4.94,3.25,6.61,8,2
Fofo,3.43,6.69,2.79,4,2
Cedo,2.93,4.89,4.77,4,2
Resto,2.98,3.5,5.55,5,2
Rainha,5.46,5.93,4.23,6,2
Fumar,5.22,2.69,6.44,5,2
Sentar,4.93,6.36,2.67,6,2
Gol,5.35,6.56,5.04,3,2
Culpa,2.39,2.05,7.27,5,2
Céu,5.18,7.87,2.98,3,2
Maravilhosa,2.28,7.83,3.21,11,2
Elevado,2.79,6.15,5.08,7,2
Chuva,6.11,6.56,3.72,5,2
