Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Duro,4.69,3.67,5.19,4,1
Ouvir,3.33,6.69,3.86,5,1
Feminina,3.92,7.15,4.01,8,1
Segurança,3.05,7.22,4.14,9,1
Pano,6.29,4.96,4.4,4,1
Acusar,2.89,2.65,7.23,6,1
Rosa,5.9,6.87,3.48,4,1
Saco,6.12,4.31,4.97,4,1
Inseto,5.78,3.32,5.86,6,1
Guitarra,6.69,5.9,4.91,8,1
Colo,4.11,7.46,2.85,4,1
Infância,4.15,7.26,3.17,8,1
Poema,4.27,6.84,2.82,5,1
Cárie,5.86,2.21,7.0,5,1
Demônio,2.82,2.51,7.1,7,1
Decadência,2.28,2.28,7.14,10,1
Trono,6.13,5.79,4.81,5,1
Energia,2.96,7.71,5.23,7,1
Baderna,3.45,3.43,6.48,7,1
Exército,5.78,4.09,6.36,8,1
Difícil,2.65,3.23,6.35,7,2
Paixão,2.5,7.87,4.98,6,2
Calúnia,2.28,1.98,7.66,7,2
Bolo,6.65,7.32,3.88,4,2
Instrumento,5.72,6.24,3.89,11,2
Armas,6.42,2.26,7.71,5,2
Móvel,5.54,5.79,4.05,5,2
Estado,3.52,4.98,4.44,6,2
Impiedade,2.44,1.96,7.41,9,2
Garras,5.25,4.03,6.45,6,2
Cadeado,6.41,3.89,5.22,7,2
Notas,4.16,5.93,6.5,5,2
Borrar,3.83,3.82,4.99,6,2
Lua,6.25,7.75,2.85,3,2
Devagar,3.3,3.93,4.36,7,2
Roupa,6.33,6.58,4.22,5,2
Rua,6.48,5.5,4.97,3,2
Valoroso,2.28,7.05,4.31,8,2
Pai,6.11,7.56,4.14,3,2
Relaxamento,2.36,7.77,1.86,11,2
