Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Esperto,2.83,6.93,5.48,7,1
Decisão,2.09,5.77,6.3,7,1
Uva,6.78,6.55,3.29,3,1
Rude,2.83,2.7,6.81,4,1
Podre,3.48,2.22,6.79,5,1
Bonita,4.15,7.78,3.36,6,1
Sentar,4.93,6.36,2.67,6,1
Zoologico,6.32,6.32,3.55,9,1
Irritação,2.86,2.0,7.0,9,1
Cozinha,6.15,6.27,3.72,7,1
Forçado,2.37,2.55,6.76,7,1
Realização,2.44,7.87,4.11,10,1
Mosca,6.61,2.43,6.02,5,1
Arquiteto,5.33,5.43,4.33,9,1
Peluda,4.9,3.39,5.91,6,1
Olfato,3.99,6.36,4.22,6,1
Adultério,3.63,2.2,7.52,9,1
Borracha,6.42,5.08,4.17,8,1
Caminhar,4.5,6.5,3.18,8,1
Vulgaridade,2.92,2.72,7.18,11,1
Insegurança,2.16,1.89,6.97,11,2
Claridade,4.67,6.16,4.2,9,2
Deitado,4.97,6.86,2.19,7,2
Sustentação,2.6,5.99,4.61,11,2
Deformidade,3.71,2.43,6.48,11,2
Choro,4.53,3.31,6.31,5,2
Assalto,4.25,1.8,7.86,7,2
Frágil,2.95,3.72,5.11,6,2
Pão,6.79,6.83,3.35,3,2
Gola,6.39,4.55,3.79,4,2
Gostoso,3.25,7.86,3.34,7,2
Garras,5.25,4.03,6.45,6,2
Prova,5.51,4.23,7.39,5,2
Montanha,6.14,6.54,3.87,8,2
Sofrimento,2.48,2.05,6.2,10,2
Botão,6.26,5.25,3.79,5,2
Mal,2.78,2.11,7.68,3,2
Comida,6.59,7.99,3.85,6,2
Euforia,2.45,6.17,5.78,7,2
Liberdade,2.34,7.92,4.34,9,2
