Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Confiança,1.94,7.75,3.83,9,1
Trauma,2.49,2.04,6.98,6,1
Fedor,3.09,2.11,6.96,5,1
Frustração,2.39,2.07,7.57,10,1
Desilusão,1.94,2.05,6.48,9,1
Cigarro,6.75,2.4,6.86,7,1
Colo,4.11,7.46,2.85,4,1
Poema,4.27,6.84,2.82,5,1
Almofada,6.52,6.54,2.5,8,1
Rede,5.72,6.84,3.52,4,1
Pó,5.61,3.66,5.49,2,1
Bala,6.11,4.86,4.42,4,1
Sujeira,5.6,2.57,6.41,7,1
Repolho,6.69,4.65,4.86,7,1
Espetar,4.58,3.98,5.68,7,1
Energia,2.96,7.71,5.23,7,1
Profissional,3.43,7.4,4.59,12,1
Comércio,5.38,5.49,5.33,8,1
Deitado,4.97,6.86,2.19,7,1
Prato,6.88,5.89,3.64,5,1
Repressão,2.58,2.34,7.18,9,2
Juba,5.68,4.47,4.8,4,2
Guerra,3.97,2.07,7.68,6,2
Base,3.81,5.88,4.35,4,2
Marca,3.62,5.37,3.86,5,2
Jaqueta,6.73,5.49,3.44,7,2
Parede,6.69,4.5,4.68,6,2
Guloseima,4.88,7.14,4.28,9,2
Verde,4.5,6.66,2.87,5,2
Grande,3.76,6.27,4.71,6,2
Borrar,3.83,3.82,4.99,6,2
Vulcão,6.07,4.17,6.68,6,2
Advogado,5.94,4.67,5.68,8,2
Desfazer,2.73,3.99,5.78,8,2
Horizonte,3.81,7.23,2.3,9,2
Veneziana,5.32,5.11,4.55,9,2
Cárie,5.86,2.21,7.0,5,2
Cuidado,2.33,6.33,6.7,7,2
Cheirar,4.06,6.22,4.02,7,2
Caderno,6.75,5.44,4.53,7,2
