Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Grade,6.28,3.78,5.9,5,1
Lerdo,2.72,2.9,6.23,5,1
Suculenta,3.35,7.35,4.07,9,1
Xadrez,5.92,5.47,4.66,6,1
Racional,2.51,6.37,4.49,8,1
Pecado,2.29,3.36,6.41,6,1
Cozinha,6.15,6.27,3.72,7,1
Poluição,4.5,2.28,7.36,8,1
Cadeira,6.93,5.42,3.68,7,1
Circo,6.15,6.22,3.83,5,1
Andar,4.64,6.12,2.49,5,1
Quartel,5.92,3.68,6.2,7,1
Honra,2.15,7.71,4.12,5,1
Mesa,6.89,5.46,3.64,4,1
Mal-estar,2.06,1.95,6.83,9,1
Asa,5.93,6.27,3.57,3,1
Anormal,2.75,3.71,6.15,7,1
Independência,2.53,8.11,5.04,13,1
Catástrofe,4.18,1.76,7.91,10,1
Ausência,2.31,2.39,6.77,8,1
Melancolia,2.23,2.4,5.25,10,2
Cachorro,6.62,6.32,4.61,8,2
Chata,2.76,2.61,6.57,5,2
Comida,6.59,7.99,3.85,6,2
Russa,3.58,5.38,5.14,5,2
Edifício,6.63,5.19,4.44,8,2
Aconchego,2.94,8.27,1.93,9,2
Contente,2.95,7.69,2.8,8,2
Coleta,3.38,5.31,4.43,6,2
Grosso,4.63,2.75,6.29,6,2
Picada,5.3,2.55,6.88,6,2
Imbecil,2.3,2.59,6.41,7,2
Gasolina,6.42,4.86,5.75,8,2
Necessidade,2.19,4.82,5.88,11,2
Seringa,6.83,3.17,5.83,7,2
Apoio,2.52,7.62,2.81,5,2
Dentista,6.06,4.31,5.97,8,2
Gripe,3.86,2.49,6.14,5,2
Fuzilar,4.23,2.21,7.81,7,2
Som,3.39,7.15,5.13,3,2
