Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Juventude,2.94,7.18,4.07,9,1
Corrigir,3.3,4.48,5.31,8,1
Tecido,5.87,5.51,3.87,6,1
Massa,5.01,6.46,4.3,5,1
Oprimido,2.52,1.82,6.97,8,1
Cadáver,6.11,2.44,6.7,7,1
Balanço,4.42,6.14,3.81,7,1
Macho,4.58,5.0,4.91,5,1
Dor,3.08,1.88,7.39,3,1
Descanso,2.86,7.95,1.94,8,1
Pátio,5.44,6.18,3.72,5,2
Grito,4.13,3.88,6.98,5,2
Julgamento,3.08,3.49,6.62,10,2
Patas,6.24,5.28,4.25,5,2
Freira,6.37,4.77,3.93,6,2
Leveza,2.44,6.99,2.08,6,2
Respeito,2.61,7.94,3.89,8,2
Cárie,5.86,2.21,7.0,5,2
População,4.96,5.26,5.51,9,2
Acariciar,4.24,7.95,2.81,9,2
Cor,3.63,6.65,4.29,3,2
Poder,2.27,6.29,5.99,5,2
Problema,2.83,2.21,7.4,8,2
Cadeira,6.93,5.42,3.68,7,2
Asa,5.93,6.27,3.57,3,2
Pele,5.79,6.62,4.49,4,2
Remorso,2.03,2.5,7.33,7,2
Responsabilidade,2.28,7.01,5.41,16,2
Chorar,4.32,3.54,5.54,6,2
Rainha,5.46,5.93,4.23,6,2
Atrito,3.69,3.7,6.08,6,3
Shopping,5.93,6.21,3.47,8,3
Bélico,3.47,3.61,6.24,6,3
Onça,6.74,4.67,6.21,4,3
Veneziana,5.32,5.11,4.55,9,3
Decepção,2.63,1.94,6.97,8,3
Dedos,6.71,5.93,3.54,5,3
Paixão,2.5,7.87,4.98,6,3
Namorado,5.42,7.14,4.54,8,3
Jaula,6.5,2.04,7.15,5,3
Uva,6.78,6.55,3.29,3,3
Gargalhada,4.53,8.23,3.82,10,3
Impiedade,2.44,1.96,7.41,9,3
Bem-estar,2.68,8.13,2.22,9,3
Selvageria,2.54,2.7,7.28,10,3
Bordar,5.25,5.43,4.19,6,3
Parar,3.55,4.04,4.72,5,3
Feroz,3.18,4.51,6.9,5,3
Guitarra,6.69,5.9,4.91,8,3
Valoroso,2.28,7.05,4.31,8,3
Lancha,6.55,6.38,4.45,6,3
Defender,3.03,6.46,5.83,8,3
Desconhecido,2.31,4.47,5.83,12,3
Despreocupação,2.16,7.01,3.79,14,3
Grama,6.55,5.79,3.07,5,3
Lento,2.95,3.37,4.28,5,3
Mar,6.63,7.94,3.13,3,3
Honra,2.15,7.71,4.12,5,3
Azul,4.35,6.88,3.09,4,3
Repressão,2.58,2.34,7.18,9,3
Dente,6.75,5.56,5.04,5,4
Capaz,2.61,7.47,4.34,5,4
Contente,2.95,7.69,2.8,8,4
Negativo,2.49,2.49,6.46,8,4
Desilusão,1.94,2.05,6.48,9,4
Bonito,3.59,7.85,4.58,6,4
Edredom,6.54,7.4,2.54,7,4
Navalha,6.33,3.49,6.63,7,4
Irritação,2.86,2.0,7.0,9,4
Pó,5.61,3.66,5.49,2,4
Ritmo,3.17,6.56,4.48,5,4
Escrever,5.76,6.15,4.41,8,4
Incentivo,2.57,7.6,3.92,9,4
Forçado,2.37,2.55,6.76,7,4
Aranha,6.77,3.15,6.04,6,4
Estrelas,5.76,7.39,2.91,8,4
Masculino,4.33,5.58,4.34,9,4
Beber,5.25,5.68,4.4,5,4
Esferográfica,5.4,5.03,4.12,13,4
Veneno,5.01,2.59,7.39,6,4
Feia,2.74,3.31,5.76,4,4
Homem,6.08,5.73,4.62,5,4
Ar,3.75,7.52,3.14,2,4
Justo,2.5,7.57,4.02,5,4
Apoio,2.52,7.62,2.81,5,4
Signo,2.72,5.33,4.22,5,4
Vingança,2.56,2.54,7.41,8,4
Cantor,5.99,6.56,3.51,6,4
Urbanização,4.41,5.43,4.91,11,4
Homicídio,4.08,1.7,7.82,9,4
Água,6.42,8.18,3.26,4,4
Gracioso,2.17,7.22,3.02,8,4
Militar,5.67,4.65,6.2,7,4
Fim,2.54,4.07,5.46,3,4
Decoração,4.54,6.72,3.65,9,4
Corajoso,2.81,7.66,4.78,8,4
Bonita,4.15,7.78,3.36,6,4
Ansiedade,2.42,2.88,7.0,9,4
Ódio,2.21,2.22,7.72,4,4
Beijo,6.02,8.4,3.56,5,4
