Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Costura,4.73,4.91,4.54,7,1
Artista,4.54,6.57,3.67,7,1
Uniforme,6.27,4.51,4.96,8,1
Grande,3.76,6.27,4.71,6,1
Natureza,4.06,7.91,2.56,8,1
Paquerar,3.42,7.55,4.66,8,1
Vitamina,4.9,6.42,4.0,8,1
Dor,3.08,1.88,7.39,3,1
Forçado,2.37,2.55,6.76,7,1
Fermento,6.05,4.96,4.9,8,1
Honra,2.15,7.71,4.12,5,2
Escrever,5.76,6.15,4.41,8,2
Criminoso,4.74,2.15,7.81,9,2
Rude,2.83,2.7,6.81,4,2
Andar,4.64,6.12,2.49,5,2
Machucado,5.11,2.28,6.73,9,2
Feliz,2.3,8.58,2.79,5,2
Elogio,2.35,8.04,3.58,6,2
Identificação,2.84,5.92,4.86,13,2
Carro,6.85,7.18,4.5,5,2
Exército,5.78,4.09,6.36,8,2
Remorso,2.03,2.5,7.33,7,2
Hospital,6.56,3.68,6.81,8,2
Aroma,2.79,7.26,3.37,5,2
Triste,2.49,2.51,6.07,6,2
Boneca,6.55,5.63,3.76,6,2
Farelo,5.59,4.8,4.57,6,2
Poema,4.27,6.84,2.82,5,2
Prédio,6.53,5.09,4.32,6,2
Doce,4.83,7.57,3.11,4,2
Cedo,2.93,4.89,4.77,4,3
Bom,2.32,7.6,2.74,3,3
Ira,2.71,2.51,7.79,3,3
Chata,2.76,2.61,6.57,5,3
Suave,2.59,6.77,2.19,5,3
Dedurar,2.85,2.32,6.68,7,3
Margem,4.54,5.22,4.76,6,3
Sucesso,2.58,8.23,4.33,7,3
Traição,3.37,1.98,7.94,7,3
Gola,6.39,4.55,3.79,4,3
Incentivo,2.57,7.6,3.92,9,3
Disco,6.46,6.39,3.52,5,3
Distante,3.56,3.13,5.49,8,3
Deformidade,3.71,2.43,6.48,11,3
Coroa,6.18,6.22,4.22,5,3
Xícara,6.85,5.14,4.05,6,3
Erro,2.87,2.65,7.41,4,3
Poltrona,6.66,7.18,2.71,8,3
Sossego,2.32,7.85,1.75,7,3
Veneno,5.01,2.59,7.39,6,3
Cadáver,6.11,2.44,6.7,7,3
Sonhar,2.28,7.55,3.38,6,3
Banho,5.15,7.95,2.72,5,3
Infidelidade,2.98,2.31,7.23,12,3
Grama,6.55,5.79,3.07,5,3
Chocolate,6.61,7.7,2.92,9,3
Pires,6.36,5.12,4.38,5,3
Bonito,3.59,7.85,4.58,6,3
Persiana,6.65,5.58,3.72,8,3
Ausência,2.31,2.39,6.77,8,3
Pesca,4.95,6.24,3.45,5,4
Deus,2.95,7.53,3.19,4,4
Sepultar,4.35,1.96,7.36,8,4
Picada,5.3,2.55,6.88,6,4
Esferográfica,5.4,5.03,4.12,13,4
Anormal,2.75,3.71,6.15,7,4
Beijo,6.02,8.4,3.56,5,4
Celestial,2.06,7.34,3.07,9,4
Podre,3.48,2.22,6.79,5,4
Conseguir,2.72,8.17,4.0,9,4
Subir,3.51,6.22,4.76,5,4
Sabor,3.07,7.42,3.64,5,4
Melodia,3.48,7.77,2.61,7,4
Falador,3.59,4.93,5.09,7,4
Adoecer,3.69,2.16,7.17,7,4
Dança,5.32,6.9,4.45,5,4
Rosa,5.9,6.87,3.48,4,4
Farinha,6.59,5.51,4.29,7,4
Grosseria,2.42,2.21,7.15,9,4
Algodão,6.64,5.91,3.3,7,4
Haste,5.46,5.06,4.05,5,4
Lata,6.72,4.86,4.4,4,4
Obedecer,2.54,5.07,5.73,8,4
Maligno,2.53,1.82,7.32,7,4
Inteligente,2.51,7.83,4.15,11,4
Macumba,2.78,2.29,6.75,7,4
Macho,4.58,5.0,4.91,5,4
Som,3.39,7.15,5.13,3,4
Tinta,6.38,5.18,4.3,5,4
Calça,6.57,5.83,3.47,5,4
Meiga,2.66,7.44,3.19,5,4
Continuação,2.47,5.63,4.65,11,4
Serenidade,1.92,7.48,2.61,10,4
Tubarão,6.76,3.46,7.08,7,4
Morro,5.9,4.8,5.31,5,4
Transar,5.18,7.76,5.01,7,4
Realização,2.44,7.87,4.11,10,4
Culpa,2.39,2.05,7.27,5,4
Câncer,4.58,1.69,7.65,6,4
Mão,6.76,6.16,4.05,3,4
