Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Horrível,2.55,2.17,7.06,8,1
Gentileza,3.15,8.08,2.52,9,1
Rodoviária,6.29,3.52,6.57,10,1
Shopping,5.93,6.21,3.47,8,1
Dedurar,2.85,2.32,6.68,7,1
Acordar,4.31,4.55,4.47,7,1
Curta,2.96,4.66,4.15,5,1
Gigante,4.54,4.84,5.14,7,1
Chute,5.18,3.77,5.66,5,1
Perfume,5.34,7.3,3.13,7,1
Discriminação,3.18,2.42,6.83,13,2
Signo,2.72,5.33,4.22,5,2
Tirânico,3.27,2.85,7.05,8,2
Quente,3.76,4.87,4.96,6,2
Caju,6.65,5.95,3.45,4,2
Frio,3.42,4.65,4.74,4,2
Cinto,6.7,4.87,4.88,5,2
Irritação,2.86,2.0,7.0,9,2
Vitamina,4.9,6.42,4.0,8,2
Bocejo,5.15,6.03,2.84,6,2
Pobreza,4.35,2.22,7.09,7,2
Entusiasmo,2.43,7.92,4.29,10,2
Chinelo,6.49,6.34,3.23,7,2
Demônio,2.82,2.51,7.1,7,2
Urbanização,4.41,5.43,4.91,11,2
Esferográfica,5.4,5.03,4.12,13,2
Filhos,6.21,6.7,6.22,6,2
Prazer,3.02,8.19,4.02,6,2
Gola,6.39,4.55,3.79,4,2
Lua,6.25,7.75,2.85,3,2
Cobertor,6.86,7.5,2.36,8,3
Fedor,3.09,2.11,6.96,5,3
Cantor,5.99,6.56,3.51,6,3
Palheiro,5.57,4.86,4.03,8,3
Marcha,4.89,4.82,4.97,6,3
Jovem,4.87,7.01,3.65,5,3
Remorso,2.03,2.5,7.33,7,3
Gripe,3.86,2.49,6.14,5,3
Ausência,2.31,2.39,6.77,8,3
Difícil,2.65,3.23,6.35,7,3
Jardim,6.47,7.34,2.32,6,3
Forte,3.53,7.08,4.47,5,3
Isqueiro,6.52,3.88,4.98,8,3
Multidão,5.23,4.21,6.99,8,3
Alucinação,2.45,4.0,6.68,10,3
Simpatia,2.45,7.88,3.33,8,3
Responsabilidade,2.28,7.01,5.41,16,3
Torta,6.1,7.35,3.26,5,3
Barba,6.4,4.46,4.98,5,3
Feminina,3.92,7.15,4.01,8,3
Gato,6.75,4.76,3.86,4,3
Celestial,2.06,7.34,3.07,9,3
Lancha,6.55,6.38,4.45,6,3
Afeto,2.24,7.96,2.77,5,3
Catástrofe,4.18,1.76,7.91,10,3
Majestade,4.33,5.68,4.79,9,3
Exército,5.78,4.09,6.36,8,3
Rápido,3.08,5.8,5.5,6,3
Cólera,2.87,2.19,7.06,6,3
Lã,6.29,5.56,3.54,2,3
Velório,5.5,1.84,6.77,7,4
Alívio,2.86,7.94,2.17,6,4
Suculenta,3.35,7.35,4.07,9,4
Pulseira,6.37,5.37,3.86,8,4
Rancor,1.98,2.34,6.5,6,4
Circo,6.15,6.22,3.83,5,4
Bonita,4.15,7.78,3.36,6,4
Pernas,6.58,6.71,4.8,6,4
Hecatombe,2.72,3.66,6.04,9,4
Peçonha,3.32,2.95,6.58,7,4
Porcelana,5.91,5.5,3.98,9,4
Racional,2.51,6.37,4.49,8,4
Acidente,4.39,2.01,8.07,8,4
Compreensão,2.2,7.78,3.43,11,4
Justiça,2.61,7.35,5.47,7,4
Bolo,6.65,7.32,3.88,4,4
Silêncio,3.2,4.76,2.72,8,4
Objetivo,2.7,7.56,5.65,8,4
Cárie,5.86,2.21,7.0,5,4
Fogo,6.41,5.02,6.66,4,4
Fracasso,2.49,1.51,7.85,8,4
Arquiteto,5.33,5.43,4.33,9,4
Escrever,5.76,6.15,4.41,8,4
Igreja,6.23,6.45,3.75,6,4
Roupa,6.33,6.58,4.22,5,4
Nutritiva,3.51,7.12,3.2,9,4
Grosseria,2.42,2.21,7.15,9,4
Fundo,3.66,4.38,5.83,5,4
Transar,5.18,7.76,5.01,7,4
Menina,6.06,7.06,4.36,6,4
Sonolento,3.68,4.19,3.97,9,4
Inteligente,2.51,7.83,4.15,11,4
Farelo,5.59,4.8,4.57,6,4
Grama,6.55,5.79,3.07,5,4
Pátio,5.44,6.18,3.72,5,4
Vomitar,5.4,2.04,6.46,7,4
Xingação,2.42,2.6,6.94,8,4
Pneu,6.78,4.49,4.96,4,4
Vitória,2.54,8.58,4.34,7,4
Poltrona,6.66,7.18,2.71,8,4
