Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Lágrima,5.81,3.75,5.89,7,1
Lento,2.95,3.37,4.28,5,1
Ardente,2.86,5.86,6.2,7,1
Edredom,6.54,7.4,2.54,7,1
Rodas,6.5,5.39,4.85,5,1
Girafa,6.78,5.46,3.88,6,1
Autoridade,3.36,4.54,6.57,10,1
Gozo,3.17,7.49,4.34,4,1
Aventura,2.18,8.02,5.54,8,1
Cadeado,6.41,3.89,5.22,7,1
Chinelo,6.49,6.34,3.23,7,2
Costura,4.73,4.91,4.54,7,2
Juventude,2.94,7.18,4.07,9,2
Igreja,6.23,6.45,3.75,6,2
Maracujá,6.62,6.71,3.05,8,2
Dinheiro,5.99,7.36,5.53,8,2
Masculino,4.33,5.58,4.34,9,2
Nojo,2.36,2.53,6.59,4,2
Agito,2.76,6.25,5.82,5,2
Império,4.21,4.82,4.84,7,2
Rugoso,4.62,3.94,4.98,6,2
Jovem,4.87,7.01,3.65,5,2
Nicotina,4.12,2.05,6.41,8,2
Animação,3.17,7.89,4.72,8,2
Chorar,4.32,3.54,5.54,6,2
Marte,5.48,4.79,4.97,5,2
Ordem,2.35,5.79,5.3,5,2
Famoso,3.22,5.87,4.35,6,2
Suave,2.59,6.77,2.19,5,2
Monarquia,3.33,4.07,5.33,9,2
Pulmão,6.26,6.26,4.37,6,3
Manteiga,6.48,5.48,4.31,8,3
Pureza,2.19,7.6,2.31,6,3
Assalto,4.25,1.8,7.86,7,3
Rosa,5.9,6.87,3.48,4,3
Camisa,6.73,5.65,3.72,6,3
Goiaba,6.79,6.42,3.63,6,3
Abençoar,2.24,7.82,3.12,8,3
Beber,5.25,5.68,4.4,5,3
Selva,5.6,5.13,6.05,5,3
Fina,3.21,5.15,3.65,4,3
Suspiro,3.64,6.13,3.58,7,3
Carícia,3.6,8.07,3.01,7,3
Frescor,2.85,6.69,2.84,7,3
Gravata,6.63,5.04,5.01,7,3
Quebrada,3.1,2.9,5.62,8,3
Chata,2.76,2.61,6.57,5,3
Freira,6.37,4.77,3.93,6,3
Dança,5.32,6.9,4.45,5,3
Velório,5.5,1.84,6.77,7,3
Alimento,5.66,7.6,3.57,8,3
Cedo,2.93,4.89,4.77,4,3
Inteligência,2.31,8.18,4.3,12,3
Moradia,4.83,7.63,3.51,7,3
Paranóico,2.39,3.0,7.35,9,3
Alívio,2.86,7.94,2.17,6,3
Café,6.29,5.5,4.92,4,3
Deficiente,4.2,3.73,6.08,10,3
Menina,6.06,7.06,4.36,6,3
Acusação,2.86,2.12,7.86,8,3
Pular,4.93,6.31,5.39,5,4
Aspirar,3.23,6.5,4.08,7,4
Leão,6.65,5.03,6.5,4,4
Música,4.34,8.1,2.61,6,4
Parar,3.55,4.04,4.72,5,4
Cocaína,6.13,2.45,6.51,7,4
Amor,2.23,8.25,3.31,4,4
Movimento,3.2,6.46,4.38,9,4
Atenção,2.69,5.44,5.85,7,4
Descansar,4.02,8.08,1.94,9,4
Riqueza,3.35,7.57,4.69,7,4
Impotente,2.42,2.52,6.3,9,4
Asfalto,6.41,5.35,5.23,7,4
Caixão,6.43,2.24,7.38,6,4
Comida,6.59,7.99,3.85,6,4
Delícia,2.95,8.34,3.31,7,4
Presídio,6.08,2.38,7.49,8,4
Pó,5.61,3.66,5.49,2,4
Carinho,3.32,8.04,2.45,7,4
Entusiasmo,2.43,7.92,4.29,10,4
Lanche,6.03,7.52,3.68,6,4
Farinha,6.59,5.51,4.29,7,4
Algodão,6.64,5.91,3.3,7,4
Cura,3.27,8.18,3.48,4,4
Apagar,3.77,3.93,4.73,6,4
Cadeira,6.93,5.42,3.68,7,4
Gozador,2.99,5.15,5.74,7,4
Horrível,2.55,2.17,7.06,8,4
Atrito,3.69,3.7,6.08,6,4
Lesma,6.61,3.34,4.17,5,4
Pânico,2.33,2.42,7.7,6,4
Choro,4.53,3.31,6.31,5,4
Seringa,6.83,3.17,5.83,7,4
Pires,6.36,5.12,4.38,5,4
Carnaval,4.57,5.67,4.94,8,4
Desejo,2.59,7.48,5.75,6,4
Almofada,6.52,6.54,2.5,8,4
Serenidade,1.92,7.48,2.61,10,4
Lancha,6.55,6.38,4.45,6,4
Escrever,5.76,6.15,4.41,8,4
