Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Metrópole,5.0,4.65,6.25,9,1
Blusa,6.73,5.9,4.03,5,1
Triste,2.49,2.51,6.07,6,1
Vida,2.96,8.11,3.31,4,1
Gordo,5.65,2.86,5.83,5,1
Pulseira,6.37,5.37,3.86,8,1
Básico,2.26,5.26,3.98,6,1
Peixe,6.76,5.99,4.07,5,1
Sonhar,2.28,7.55,3.38,6,1
Pânico,2.33,2.42,7.7,6,1
Gola,6.39,4.55,3.79,4,2
Vulgaridade,2.92,2.72,7.18,11,2
Seco,3.88,3.9,4.99,4,2
Vendedor,5.66,4.41,5.76,8,2
Hecatombe,2.72,3.66,6.04,9,2
Anormal,2.75,3.71,6.15,7,2
Cidade,6.15,5.73,4.93,6,2
Silêncio,3.2,4.76,2.72,8,2
Empresário,5.46,5.94,4.77,10,2
Banho,5.15,7.95,2.72,5,2
Longe,2.83,4.28,5.7,5,2
Cárie,5.86,2.21,7.0,5,2
Filhos,6.21,6.7,6.22,6,2
Louça,6.16,3.88,5.08,5,2
Inocência,2.17,5.97,3.38,9,2
Perigo,3.17,3.12,7.87,6,2
Aroma,2.79,7.26,3.37,5,2
Chuchu,6.74,4.8,3.94,6,2
Sossego,2.32,7.85,1.75,7,2
Saúde,3.55,8.14,4.16,5,2
Admirável,2.42,7.72,3.28,9,3
Fina,3.21,5.15,3.65,4,3
Pêra,6.82,5.93,2.75,4,3
Circo,6.15,6.22,3.83,5,3
Marca,3.62,5.37,3.86,5,3
Pesadelo,2.84,1.93,7.8,8,3
Usurpador,2.37,2.78,6.85,9,3
Hospital,6.56,3.68,6.81,8,3
Pico,4.58,5.39,5.59,4,3
Gravador,6.37,4.67,4.78,8,3
Teia,5.9,3.71,5.18,4,3
Cinza,4.88,4.42,4.79,5,3
Morro,5.9,4.8,5.31,5,3
Borracha,6.42,5.08,4.17,8,3
Furar,4.49,4.04,5.17,5,3
Fuga,3.92,4.53,6.85,4,3
Café,6.29,5.5,4.92,4,3
Barco,6.43,6.07,3.73,5,3
Cega,3.68,2.54,6.25,4,3
Palácio,5.75,7.02,3.4,7,3
Confiança,1.94,7.75,3.83,9,3
Nojo,2.36,2.53,6.59,4,3
Assalto,4.25,1.8,7.86,7,3
Incentivo,2.57,7.6,3.92,9,3
Afeto,2.24,7.96,2.77,5,3
Melancolia,2.23,2.4,5.25,10,3
Fogo,6.41,5.02,6.66,4,3
Paladar,3.4,7.13,4.29,7,3
Perda,2.57,2.11,7.32,5,3
Família,4.76,8.41,3.28,7,3
Deformidade,3.71,2.43,6.48,11,4
Flexível,3.19,7.05,3.66,8,4
Porta,6.62,5.77,4.27,5,4
Maconha,5.86,3.03,6.31,7,4
Serenidade,1.92,7.48,2.61,10,4
Lerdo,2.72,2.9,6.23,5,4
Diversão,2.93,8.4,3.87,8,4
Caminhar,4.5,6.5,3.18,8,4
Representação,2.24,5.39,5.09,13,4
Aula,4.19,5.68,5.5,4,4
Aids,4.72,1.87,7.74,4,4
Social,2.15,6.14,4.48,6,4
Nada,1.61,4.04,4.37,4,4
Suco,6.34,6.8,2.41,4,4
Homem,6.08,5.73,4.62,5,4
Aranha,6.77,3.15,6.04,6,4
Calo,5.95,2.91,6.04,4,4
Masculino,4.33,5.58,4.34,9,4
Criança,6.57,7.03,3.81,7,4
Ponta,4.8,4.55,4.9,5,4
Rodas,6.5,5.39,4.85,5,4
Gracioso,2.17,7.22,3.02,8,4
Agito,2.76,6.25,5.82,5,4
Branco,5.02,6.39,3.23,6,4
Tristeza,2.64,2.18,6.63,8,4
Pele,5.79,6.62,4.49,4,4
Nascimento,3.67,7.45,4.43,10,4
Traição,3.37,1.98,7.94,7,4
Subir,3.51,6.22,4.76,5,4
Chorar,4.32,3.54,5.54,6,4
Continuação,2.47,5.63,4.65,11,4
Tênis,6.78,6.32,3.63,5,4
Acalmar,2.66,7.48,2.54,7,4
Dono,3.38,4.51,5.53,4,4
Luto,3.41,2.01,6.24,4,4
Balanço,4.42,6.14,3.81,7,4
Grosso,4.63,2.75,6.29,6,4
Cigarro,6.75,2.4,6.86,7,4
Cadeia,5.94,2.21,7.08,6,4
Vento,4.36,6.64,3.64,5,4
