Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Nadar,5.15,6.71,4.08,5,1
Pano,6.29,4.96,4.4,4,1
Doença,3.51,1.72,7.59,6,1
Carnívoro,4.45,5.34,5.6,9,1
Inteligência,2.31,8.18,4.3,12,1
Carta,6.19,6.6,3.59,5,1
Batalha,3.89,3.97,6.97,7,1
Cama,6.84,7.84,2.68,4,1
Urbanização,4.41,5.43,4.91,11,1
Atrito,3.69,3.7,6.08,6,1
Fuzilar,4.23,2.21,7.81,7,2
Seringa,6.83,3.17,5.83,7,2
Massa,5.01,6.46,4.3,5,2
Máquina,5.44,5.63,5.21,7,2
Bolo,6.65,7.32,3.88,4,2
Cachorro,6.62,6.32,4.61,8,2
Desfazer,2.73,3.99,5.78,8,2
Cortina,6.3,5.22,2.98,7,2
Lã,6.29,5.56,3.54,2,2
Calma,2.37,7.5,2.28,5,2
Soberano,2.44,5.38,5.33,8,2
População,4.96,5.26,5.51,9,2
Unha,6.65,5.44,4.53,4,2
Repressão,2.58,2.34,7.18,9,2
Tosse,5.35,2.42,6.33,5,2
Frescor,2.85,6.69,2.84,7,2
Morte,3.04,2.43,7.61,5,2
Atitude,2.68,7.27,5.29,7,2
Disciplina,2.62,6.24,5.41,10,2
Luar,4.78,7.58,3.29,4,2
Independência,2.53,8.11,5.04,13,3
Gelo,6.38,5.23,3.97,4,3
Zorra,3.57,4.96,6.12,5,3
Muro,6.53,4.11,4.52,4,3
Elogio,2.35,8.04,3.58,6,3
Sepultar,4.35,1.96,7.36,8,3
Marca,3.62,5.37,3.86,5,3
Multidão,5.23,4.21,6.99,8,3
Plenitude,1.84,7.19,3.22,9,3
Desonesto,2.37,2.36,7.74,9,3
Corpo,6.34,6.72,4.9,5,3
Bem-estar,2.68,8.13,2.22,9,3
Camisa,6.73,5.65,3.72,6,3
Guitarra,6.69,5.9,4.91,8,3
Baixo,3.59,4.51,3.74,5,3
Lápis,6.72,5.48,4.16,5,3
Difícil,2.65,3.23,6.35,7,3
Vermelho,4.96,6.25,5.86,8,3
Brincadeira,3.47,7.65,2.83,11,3
Medida,2.84,4.69,4.48,6,3
Circo,6.15,6.22,3.83,5,3
Frio,3.42,4.65,4.74,4,3
Baderna,3.45,3.43,6.48,7,3
Dente,6.75,5.56,5.04,5,3
Motor,6.41,5.01,4.86,5,3
Fofo,3.43,6.69,2.79,4,3
Correnteza,5.83,4.78,6.19,10,3
Sala,5.88,5.34,4.45,4,3
Menina,6.06,7.06,4.36,6,3
Luto,3.41,2.01,6.24,4,3
Flâmula,3.9,5.16,4.63,7,4
Monarquia,3.33,4.07,5.33,9,4
Desejo,2.59,7.48,5.75,6,4
Quarto,5.91,7.23,3.13,6,4
Prisão,5.45,2.01,7.4,6,4
Violência,3.79,1.85,7.95,9,4
Delícia,2.95,8.34,3.31,7,4
Nuvens,5.84,6.73,2.98,6,4
Cor,3.63,6.65,4.29,3,4
Pires,6.36,5.12,4.38,5,4
Mágoa,2.5,2.03,6.9,5,4
Rugoso,4.62,3.94,4.98,6,4
Mãe,5.95,8.35,2.72,3,4
Poltrona,6.66,7.18,2.71,8,4
Vício,3.19,2.34,7.08,5,4
Lixo,5.68,2.55,6.07,4,4
Afeto,2.24,7.96,2.77,5,4
Roupa,6.33,6.58,4.22,5,4
Cenoura,6.78,5.51,3.5,7,4
Pobreza,4.35,2.22,7.09,7,4
Bala,6.11,4.86,4.42,4,4
Confortável,2.82,7.92,2.34,11,4
Túmulo,6.28,2.23,6.74,6,4
Leão,6.65,5.03,6.5,4,4
Lanchonete,6.19,7.03,3.64,10,4
Distante,3.56,3.13,5.49,8,4
Rugido,3.81,4.05,6.42,6,4
Injustiça,2.57,1.67,8.01,9,4
Ira,2.71,2.51,7.79,3,4
Delicada,2.67,6.89,3.1,8,4
Advogado,5.94,4.67,5.68,8,4
Caminhar,4.5,6.5,3.18,8,4
Banana,6.75,5.91,4.03,6,4
Fogão,6.65,5.43,4.86,5,4
Juventude,2.94,7.18,4.07,9,4
Trabalho,4.47,6.38,5.51,8,4
Preconceito,1.97,2.31,7.03,11,4
Charuto,6.67,2.5,5.57,7,4
Peixe,6.76,5.99,4.07,5,4
Ser,1.98,6.97,4.32,3,4
