Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Prejudicial,2.64,2.22,7.23,11,1
Machucado,5.11,2.28,6.73,9,1
Amizade,2.44,8.17,3.03,7,1
Mar,6.63,7.94,3.13,3,1
Gordura,4.75,3.09,6.59,7,1
Artista,4.54,6.57,3.67,7,1
Afeto,2.24,7.96,2.77,5,1
Temperatura,3.73,5.53,5.23,11,1
Pernas,6.58,6.71,4.8,6,1
Pedra,6.65,4.81,4.85,5,1
Raça,3.54,5.04,4.37,4,2
Calma,2.37,7.5,2.28,5,2
Túmulo,6.28,2.23,6.74,6,2
Tesão,3.11,7.75,6.23,5,2
Lesma,6.61,3.34,4.17,5,2
Tamanho,3.3,5.13,4.91,7,2
Aceitação,2.32,6.79,4.28,9,2
Escova,6.75,6.25,3.65,6,2
Confortável,2.82,7.92,2.34,11,2
Costura,4.73,4.91,4.54,7,2
Infidelidade,2.98,2.31,7.23,12,2
Arrependimento,1.95,3.96,6.47,14,2
Cozinha,6.15,6.27,3.72,7,2
Estojo,6.48,4.93,3.82,6,2
Adoecer,3.69,2.16,7.17,7,2
Rocha,6.55,5.2,4.79,5,2
Tomar,3.8,5.51,4.58,5,2
Benfeitor,3.0,7.0,3.34,9,2
Calo,5.95,2.91,6.04,4,2
Calcanhar,6.35,4.78,4.44,9,2
Quartel,5.92,3.68,6.2,7,3
Vestir,5.53,6.69,3.75,6,3
Desconhecido,2.31,4.47,5.83,12,3
Estatura,3.79,5.74,4.56,8,3
Comunicação,3.39,7.28,4.79,11,3
Básico,2.26,5.26,3.98,6,3
Tampa,6.07,4.81,4.14,5,3
Relaxamento,2.36,7.77,1.86,11,3
Gravata,6.63,5.04,5.01,7,3
Bicho,5.28,5.53,4.71,5,3
Tosse,5.35,2.42,6.33,5,3
Dentista,6.06,4.31,5.97,8,3
Madeira,6.45,4.95,4.15,7,3
Estofado,6.26,6.03,3.52,8,3
Selvageria,2.54,2.7,7.28,10,3
Corajoso,2.81,7.66,4.78,8,3
Gasolina,6.42,4.86,5.75,8,3
Porcelana,5.91,5.5,3.98,9,3
Agasalho,6.55,6.96,3.21,8,3
Acariciar,4.24,7.95,2.81,9,3
Carência,2.06,3.27,5.84,8,3
Pato,6.86,5.6,3.58,4,3
Letra,5.25,5.53,3.99,5,3
Ódio,2.21,2.22,7.72,4,3
Fofo,3.43,6.69,2.79,4,3
Dono,3.38,4.51,5.53,4,3
Comprido,3.25,5.05,4.33,8,3
Alienado,2.71,2.97,6.42,8,3
Garras,5.25,4.03,6.45,6,3
Imbecil,2.3,2.59,6.41,7,3
Lixo,5.68,2.55,6.07,4,4
Signo,2.72,5.33,4.22,5,4
Graça,2.25,7.36,2.93,5,4
Nadar,5.15,6.71,4.08,5,4
Prazer,3.02,8.19,4.02,6,4
Jesus,4.3,7.77,3.4,5,4
Atitude,2.68,7.27,5.29,7,4
Esquecimento,2.34,3.17,6.66,12,4
Luar,4.78,7.58,3.29,4,4
Cobertor,6.86,7.5,2.36,8,4
Injustiça,2.57,1.67,8.01,9,4
Borboleta,6.71,6.82,3.42,9,4
Batalha,3.89,3.97,6.97,7,4
Pobreza,4.35,2.22,7.09,7,4
Acompanhado,3.79,7.24,4.18,11,4
Aconchego,2.94,8.27,1.93,9,4
Jaula,6.5,2.04,7.15,5,4
Músculos,6.23,6.7,4.69,8,4
Elefante,6.73,5.22,4.51,8,4
Útil,2.11,7.6,4.0,4,4
Novo,2.85,7.19,4.31,4,4
Intragável,2.3,2.83,6.8,10,4
Vingança,2.56,2.54,7.41,8,4
Margarina,6.34,5.36,4.04,9,4
Algodão,6.64,5.91,3.3,7,4
Objetivo,2.7,7.56,5.65,8,4
Edificante,2.68,6.14,4.14,10,4
Couve,6.44,5.07,3.9,5,4
Gozador,2.99,5.15,5.74,7,4
Obrigar,2.46,2.21,6.94,7,4
Pulmão,6.26,6.26,4.37,6,4
Injeção,6.33,3.27,6.72,7,4
Acidente,4.39,2.01,8.07,8,4
Veneziana,5.32,5.11,4.55,9,4
Mão,6.76,6.16,4.05,3,4
Virtude,2.03,7.5,3.02,7,4
Deficiente,4.2,3.73,6.08,10,4
Goiaba,6.79,6.42,3.63,6,4
Desilusão,1.94,2.05,6.48,9,4
Pureza,2.19,7.6,2.31,6,4
