Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Soldado,6.55,4.87,5.73,7,1
Sustentação,2.6,5.99,4.61,11,1
Dono,3.38,4.51,5.53,4,1
Pavor,2.99,2.48,7.75,5,1
Podre,3.48,2.22,6.79,5,1
Caça,3.81,3.91,5.98,4,1
Aconchego,2.94,8.27,1.93,9,1
Graça,2.25,7.36,2.93,5,1
Asfalto,6.41,5.35,5.23,7,1
Lesma,6.61,3.34,4.17,5,1
Diabetes,3.52,2.24,6.91,8,2
Chorar,4.32,3.54,5.54,6,2
Lagoa,6.42,7.3,2.93,5,2
Jaqueta,6.73,5.49,3.44,7,2
Saco,6.12,4.31,4.97,4,2
Cura,3.27,8.18,3.48,4,2
Delinquente,3.31,2.1,6.73,11,2
Mel,6.2,7.05,3.22,3,2
Tortura,3.32,1.62,7.88,7,2
Cesto,6.01,5.03,4.17,5,2
Exército,5.78,4.09,6.36,8,2
Guerra,3.97,2.07,7.68,6,2
Sentimento,2.21,7.47,4.8,10,2
Pequena,3.67,5.06,3.88,7,2
Escuro,3.75,4.83,5.25,6,2
Velocidade,3.77,6.16,6.28,10,2
Saudável,2.94,8.02,2.82,8,2
Ira,2.71,2.51,7.79,3,2
Direção,2.86,6.34,5.26,7,2
Baderna,3.45,3.43,6.48,7,2
Trânsito,4.94,3.25,6.61,8,3
Rede,5.72,6.84,3.52,4,3
Sabedoria,2.33,8.27,3.76,9,3
Pele,5.79,6.62,4.49,4,3
Festa,4.65,7.61,4.26,5,3
Notas,4.16,5.93,6.5,5,3
Consciência,1.61,7.19,4.48,11,3
Desilusão,1.94,2.05,6.48,9,3
Beleza,2.94,7.71,3.96,6,3
Olfato,3.99,6.36,4.22,6,3
Inteligência,2.31,8.18,4.3,12,3
Rude,2.83,2.7,6.81,4,3
Mosca,6.61,2.43,6.02,5,3
Seco,3.88,3.9,4.99,4,3
Nobreza,2.5,6.02,4.3,7,3
Negativo,2.49,2.49,6.46,8,3
Caderno,6.75,5.44,4.53,7,3
Fincar,4.25,4.26,5.55,6,3
Vento,4.36,6.64,3.64,5,3
Banco,6.19,5.18,5.31,5,3
Locomoção,3.91,6.21,4.92,9,3
Cadáver,6.11,2.44,6.7,7,3
Polícia,5.94,4.35,6.38,7,3
Bem-estar,2.68,8.13,2.22,9,3
Voz,1.11,6.38,4.93,3,3
Tubarão,6.76,3.46,7.08,7,3
Sepultar,4.35,1.96,7.36,8,3
Sala,5.88,5.34,4.45,4,3
Chuva,6.11,6.56,3.72,5,3
Alienado,2.71,2.97,6.42,8,3
Vomitar,5.4,2.04,6.46,7,4
Rodas,6.5,5.39,4.85,5,4
Fio,5.74,4.75,4.94,3,4
Amargura,2.41,1.96,5.8,8,4
Raiva,2.72,2.46,7.65,5,4
Macho,4.58,5.0,4.91,5,4
Oprimido,2.52,1.82,6.97,8,4
Lembrança,2.39,7.0,3.56,9,4
Branco,5.02,6.39,3.23,6,4
Elogio,2.35,8.04,3.58,6,4
Torta,6.1,7.35,3.26,5,4
Xadrez,5.92,5.47,4.66,6,4
Prejudicial,2.64,2.22,7.23,11,4
Fundo,3.66,4.38,5.83,5,4
Sofrimento,2.48,2.05,6.2,10,4
Trauma,2.49,2.04,6.98,6,4
Calma,2.37,7.5,2.28,5,4
Nojo,2.36,2.53,6.59,4,4
Cortina,6.3,5.22,2.98,7,4
Correnteza,5.83,4.78,6.19,10,4
Deitado,4.97,6.86,2.19,7,4
Rigidez,2.94,4.05,6.03,7,4
Juba,5.68,4.47,4.8,4,4
Raça,3.54,5.04,4.37,4,4
Cárie,5.86,2.21,7.0,5,4
Independência,2.53,8.11,5.04,13,4
Prisão,5.45,2.01,7.4,6,4
Lixa,6.57,4.45,4.59,4,4
Asquerosa,2.63,3.09,6.01,9,4
Pernas,6.58,6.71,4.8,6,4
Dedicado,2.43,7.35,4.31,8,4
Acordar,4.31,4.55,4.47,7,4
Deficiente,4.2,3.73,6.08,10,4
Prazer,3.02,8.19,4.02,6,4
Arrepio,4.1,5.52,5.6,7,4
Aroma,2.79,7.26,3.37,5,4
Violência,3.79,1.85,7.95,9,4
Estudo,3.82,6.7,6.12,6,4
Sofá,6.64,6.72,2.72,4,4
Camisa,6.73,5.65,3.72,6,4
