Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Obrigar,2.46,2.21,6.94,7,1
Negro,5.12,5.75,3.57,5,1
Rei,5.0,5.2,5.12,3,1
Tênis,6.78,6.32,3.63,5,1
Perda,2.57,2.11,7.32,5,1
Poltrona,6.66,7.18,2.71,8,1
Sangue,6.1,4.47,5.36,6,1
Repouso,3.27,7.94,1.97,7,1
Realização,2.44,7.87,4.11,10,1
Decadência,2.28,2.28,7.14,10,1
Crime,3.56,1.76,8.01,5,2
Amor,2.23,8.25,3.31,4,2
Criminoso,4.74,2.15,7.81,9,2
Título,3.79,5.47,4.59,6,2
Carnaval,4.57,5.67,4.94,8,2
Temperatura,3.73,5.53,5.23,11,2
Menina,6.06,7.06,4.36,6,2
Obedecer,2.54,5.07,5.73,8,2
Bondade,2.25,8.08,2.55,7,2
Apoio,2.52,7.62,2.81,5,2
Direção,2.86,6.34,5.26,7,2
Impotente,2.42,2.52,6.3,9,2
Vestir,5.53,6.69,3.75,6,2
Maçã,6.84,6.49,3.62,4,2
Marcha,4.89,4.82,4.97,6,2
Cárie,5.86,2.21,7.0,5,2
Instrumento,5.72,6.24,3.89,11,2
Sexo,4.77,7.83,5.78,4,2
Traição,3.37,1.98,7.94,7,2
Boneca,6.55,5.63,3.76,6,2
Zombador,3.07,3.12,6.46,8,3
Colher,6.63,5.45,3.78,6,3
Galinha,6.77,5.29,3.9,7,3
Riqueza,3.35,7.57,4.69,7,3
Duro,4.69,3.67,5.19,4,3
Angelical,2.44,7.06,7.28,9,3
Lua,6.25,7.75,2.85,3,3
Entusiasmo,2.43,7.92,4.29,10,3
Sol,6.07,7.03,3.73,3,3
Soberano,2.44,5.38,5.33,8,3
Montanha,6.14,6.54,3.87,8,3
Motor,6.41,5.01,4.86,5,3
Fada,3.67,5.84,3.39,4,3
Sujeira,5.6,2.57,6.41,7,3
Persiana,6.65,5.58,3.72,8,3
Acidente,4.39,2.01,8.07,8,3
Devagar,3.3,3.93,4.36,7,3
Dança,5.32,6.9,4.45,5,3
Móvel,5.54,5.79,4.05,5,3
Pânico,2.33,2.42,7.7,6,3
Pecado,2.29,3.36,6.41,6,3
Chinelo,6.49,6.34,3.23,7,3
Chata,2.76,2.61,6.57,5,3
Independência,2.53,8.11,5.04,13,3
Material,4.35,5.22,4.54,8,3
Espirro,5.19,4.68,4.75,7,3
Mentira,2.76,2.01,7.5,7,3
Confortável,2.82,7.92,2.34,11,3
Comunicação,3.39,7.28,4.79,11,3
Gigante,4.54,4.84,5.14,7,3
Cidade,6.15,5.73,4.93,6,4
Tabaco,5.25,2.559,6.71,6,4
Asquerosa,2.63,3.09,6.01,9,4
Selva,5.6,5.13,6.05,5,4
Engenheiro,5.5,5.37,4.75,10,4
Frio,3.42,4.65,4.74,4,4
Aventura,2.18,8.02,5.54,8,4
Sentar,4.93,6.36,2.67,6,4
Cobertor,6.86,7.5,2.36,8,4
Nervosismo,2.57,2.08,7.44,10,4
Felino,4.76,4.88,4.81,6,4
Furar,4.49,4.04,5.17,5,4
Sala,5.88,5.34,4.45,4,4
Negativo,2.49,2.49,6.46,8,4
Andar,4.64,6.12,2.49,5,4
Suculenta,3.35,7.35,4.07,9,4
Xingação,2.42,2.6,6.94,8,4
Sopa,6.54,6.04,3.9,4,4
Caminhar,4.5,6.5,3.18,8,4
Cura,3.27,8.18,3.48,4,4
Diabetes,3.52,2.24,6.91,8,4
Líder,4.02,6.5,5.48,5,4
Amarelo,5.23,5.7,4.59,7,4
Lento,2.95,3.37,4.28,5,4
Ar,3.75,7.52,3.14,2,4
Incentivo,2.57,7.6,3.92,9,4
Cadeado,6.41,3.89,5.22,7,4
Gripe,3.86,2.49,6.14,5,4
Tremor,3.56,3.27,6.81,6,4
Ruim,2.53,2.2,6.7,4,4
Banana,6.75,5.91,4.03,6,4
Gargalhada,4.53,8.23,3.82,10,4
Liberdade,2.34,7.92,4.34,9,4
Compreensão,2.2,7.78,3.43,11,4
Relaxamento,2.36,7.77,1.86,11,4
Caixão,6.43,2.24,7.38,6,4
Televisão,6.85,5.93,4.46,9,4
Cesto,6.01,5.03,4.17,5,4
Chocolate,6.61,7.7,2.92,9,4
Advogado,5.94,4.67,5.68,8,4
